# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..8i.....!...I$.  fffc38699cce0785e72112f3ee4924ba
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  ......p.K.T....`  fff7c29698c8701f4b1154171e85df60
# epoch 850  H=7.9783 C=8.0024 HO=-0.0222  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI..PQ..  fffecb082c7efe545049c417505119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..7i....._...I$.  fffb37699cce0784e72012f3ee4924ba
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  ......p.K.T....`  fff7c29698c8701f4b1154171e85df60
# epoch 900  H=7.9792 C=8.0028 HO=-0.0213  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7efe545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  ......p.K.T....`  fff7c29698c8701f4b1154171e85df60
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 950  H=7.9780 C=8.0022 HO=-0.0225  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7efe545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  ......p.K.T%...`  fff7c29698c8701f4b1154251e85df60
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 1000  H=7.9783 C=8.0023 HO=-0.0222  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1bd404
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7efe545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
