# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       156  ................  02020202020202020202020202020202
       127  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       123  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
       106  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 2750  H=7.8185 C=7.6130 HO=0.1347  A(t)=303
       598  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       555  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       482  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       250  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       123  ................  01010101010101010101010101010101
       113  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       110  ................  fefefefefefefefefefefefefefefefe
       105  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       104  ................  06060606060606060606060606060606
        98  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
# epoch 3000  H=7.8118 C=7.6106 HO=0.1339  A(t)=304
       454  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       402  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       371  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       223  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       149  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
       143  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       138  5555555555555555  35353535353535353535353535353535
       129  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       122  ................  04040404040404040404040404040404
       115  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
# epoch 3250  H=7.8082 C=7.6070 HO=0.1329  A(t)=306
       811  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       477  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       375  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       151  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       139  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       117  ................  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
       104  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       100  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        94  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        93  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 3500  H=7.8002 C=7.5971 HO=0.1360  A(t)=306
       499  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       394  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       328  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       297  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       187  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       163  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       146  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       129  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       125  ................  02020202020202020202020202020202
       121  ................  ffffffffffffffffffffffffffffffff
# epoch 3750  H=7.7975 C=7.5987 HO=0.1342  A(t)=306
       639  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       520  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       510  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       184  ................  fefefefefefefefefefefefefefefefe
       113  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       111  ................  02020202020202020202020202020202
       106  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       103  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        98  ................  ffffffffffffffffffffffffffffffff
        86  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
# epoch 4000  H=7.7902 C=7.5716 HO=0.1504  A(t)=306
       680  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       500  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       336  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       276  ................  01010101010101010101010101010101
       206  ................  ffffffffffffffffffffffffffffffff
       188  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       171  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       161  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       114  ))))))))))))))))  29292929292929292929292929292929
       104  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
# epoch 4250  H=7.7857 C=7.5595 HO=0.1579  A(t)=308
       676  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       615  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       382  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       170  ................  01010101010101010101010101010101
       167  ................  02020202020202020202020202020202
