epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
11800,13.981,12.674,7.563538,7.285278,0.27826,410.8499,0.861602,0.035332,0.877822,0.086846,102400,42071031,3175,57163,7,104
12000,14.182,12.856,7.549532,7.297607,0.251924,434.0056,0.886357,0.038223,0.887939,0.073838,102400,44442176,3109,57377,9,105
12200,14.391,13.045,7.506217,7.270264,0.235954,477.3204,0.893311,0.043545,0.86416,0.092295,102400,48877609,3173,57249,10,106
12400,14.605,13.24,7.482613,7.260132,0.222481,516.7639,0.875439,0.048838,0.842861,0.108301,102400,52916622,3089,57243,8,106
12600,14.823,13.439,7.462004,7.22998,0.232024,531.7933,0.886279,0.050605,0.838213,0.111182,102400,54455631,3197,57120,8,106
12800,15.05,13.643,7.46498,7.265015,0.199965,546.5747,0.892998,0.052119,0.856523,0.091357,102400,55969247,3194,57311,9,106
13000,15.257,13.831,7.488065,7.285278,0.202787,470.615,0.916084,0.042881,0.8846,0.07252,102400,48190977,3176,57254,8,106
13200,15.465,14.018,7.495916,7.318726,0.177191,468.4829,0.902158,0.042754,0.884863,0.072383,102400,47972654,3073,57505,11,106
13400,15.671,14.206,7.505619,7.320312,0.185306,470.7605,0.891221,0.043018,0.888799,0.068184,102400,48205878,3153,57386,9,106
13600,15.876,14.391,7.534808,7.362549,0.172259,455.0886,0.88543,0.041094,0.883027,0.075879,102400,46601069,3212,57582,8,106
13800,16.083,14.579,7.560165,7.371582,0.188583,482.2893,0.862129,0.044316,0.8571,0.098584,102400,49386421,3194,57440,6,106
14000,16.298,14.775,7.552414,7.319702,0.232711,526.2079,0.853828,0.050254,0.831387,0.118359,102400,53883689,3159,56994,7,106
14200,16.577,15.034,7.544067,7.259155,0.284912,603.9664,0.846016,0.059961,0.820742,0.119297,102400,61846160,3133,56716,8,107
14400,16.814,15.252,7.537207,7.218018,0.319189,604.6983,0.843379,0.060088,0.82123,0.118682,102400,61921103,3204,56643,7,108
14600,17.053,15.47,7.543373,7.259155,0.284217,608.9968,0.852832,0.060566,0.822197,0.117236,102400,62361275,3226,57113,8,108
14800,17.29,15.688,7.568029,7.351318,0.21671,641.2369,0.843799,0.06458,0.819102,0.116318,102400,65662662,3210,57529,10,108
15000,17.522,15.9,7.580599,7.264526,0.316073,609.4706,0.840479,0.06083,0.803438,0.135732,102400,62409788,3095,56795,11,110
15200,17.746,16.105,7.566212,7.20874,0.357471,570.6557,0.871338,0.055752,0.835723,0.108525,102400,58435148,3201,56576,10,110
15400,17.974,16.312,7.556399,7.206055,0.350344,598.8697,0.859893,0.059521,0.815371,0.125107,102400,61324254,3119,56754,9,110
15600,18.195,16.514,7.564221,7.218018,0.346204,554.8289,0.854209,0.054258,0.811152,0.13459,102400,56814480,3056,56856,7,110
15800,18.42,16.719,7.57615,7.176392,0.399759,590.6593,0.829424,0.058916,0.785371,0.155713,102400,60483511,3157,56584,11,111
16000,18.652,16.932,7.540132,7.194824,0.345308,617.1506,0.807539,0.062207,0.773135,0.164658,102400,63196222,3193,57045,12,112
16200,18.903,17.159,7.552469,7.144287,0.408182,667.2549,0.813691,0.068223,0.771143,0.160635,102400,68326899,3168,56526,12,113
16400,19.173,17.409,7.541242,7.15686,0.384382,721.4903,0.782158,0.074902,0.772344,0.152754,102400,73880603,3055,56733,9,113
16600,19.428,17.645,7.545113,7.12085,0.424263,741.7398,0.771113,0.077295,0.777109,0.145596,102400,75954159,3170,56467,11,115
16800,19.682,17.878,7.541784,7.153687,0.388097,721.1562,0.765322,0.074531,0.805137,0.120332,102400,73846399,3240,56779,12,115
17000,19.94,18.117,7.533912,7.168945,0.364966,680.7936,0.774727,0.069717,0.789209,0.141074,102400,69713260,3038,56887,14,116
17200,20.176,18.333,7.527771,7.212646,0.315124,639.6169,0.756025,0.064824,0.773994,0.161182,102400,65496775,3081,57106,12,116
17400,20.422,18.559,7.504673,7.165894,0.33878,690.8195,0.731895,0.071035,0.78377,0.145195,102400,70739918,3142,56780,17,119
17600,20.673,18.79,7.546362,7.229004,0.317358,721.8433,0.710615,0.074766,0.796426,0.128809,102400,73916754,3153,57111,16,120
17800,20.922,19.019,7.541953,7.200073,0.34188,704.9954,0.721611,0.072529,0.801152,0.126318,102400,72191532,3139,56840,12,120
18000,21.176,19.254,7.537935,7.224487,0.313448,706.0736,0.685195,0.072549,0.809902,0.117549,102400,72301939,3120,56951,10,122
18200,21.432,19.489,7.550033,7.295532,0.254501,725.4217,0.68125,0.074639,0.804248,0.121113,102400,74283179,3158,57338,11,124
18400,21.69,19.727,7.575049,7.317261,0.257788,733.4838,0.672051,0.076162,0.761396,0.162441,102400,75108745,3154,57311,14,126
18600,21.927,19.945,7.584799,7.353149,0.231649,645.1162,0.683203,0.065186,0.775938,0.158877,102400,66059897,3149,57470,14,129
18800,22.159,20.156,7.568731,7.334473,0.234259,620.929,0.694102,0.062246,0.780459,0.157295,102400,63583128,3005,57427,11,130
19000,22.433,20.41,7.555037,7.288818,0.266219,607.4805,0.708496,0.060518,0.794707,0.144775,102400,62206000,3155,57005,10,130
19200,22.682,20.639,7.535198,7.26416,0.271037,709.1527,0.681787,0.073193,0.779189,0.147617,102400,72617236,3071,56892,11,133
19400,22.998,20.936,7.558156,7.240234,0.317921,816.2197,0.713135,0.086133,0.796094,0.117773,102400,83580900,3190,56779,9,133
19600,23.261,21.179,7.522516,7.253174,0.269343,785.8712,0.759014,0.082129,0.81625,0.101621,102400,80473206,3162,57176,8,133
19800,23.537,21.434,7.52832,7.293335,0.234985,833.4465,0.802852,0.087852,0.831553,0.080596,102400,85344926,3120,57420,11,134
20000,23.812,21.688,7.517171,7.303711,0.213461,818.6756,0.81459,0.085078,0.844502,0.07042,102400,83832380,3166,57547,7,135
20200,24.082,21.938,7.497519,7.299927,0.197593,797.1052,0.822568,0.082988,0.848096,0.068916,102400,81623575,3059,57441,9,136
20400,24.357,22.193,7.509792,7.274048,0.235744,832.7107,0.840527,0.08752,0.826484,0.085996,102400,85269577,3205,57151,5,136
20600,24.637,22.454,7.484583,7.301147,0.183435,859.4952,0.839062,0.090732,0.822432,0.086836,102400,88012313,3162,57354,5,136
20800,24.935,22.732,7.496132,7.2948,0.201332,951.5702,0.824316,0.102119,0.817158,0.080723,102400,97440791,3157,57319,4,136
21000,25.222,22.998,7.49375,7.282959,0.210791,895.1773,0.831201,0.095342,0.83623,0.068428,102400,91666155,3183,57222,5,136
21200,25.49,23.247,7.476792,7.256226,0.220567,786.9585,0.862119,0.081816,0.860908,0.057275,102400,80584551,3063,57176,10,137
21400,25.744,23.481,7.482937,7.236694,0.246243,674.9413,0.869795,0.0679,0.876143,0.055957,102400,69113985,3112,56990,10,137
21600,25.99,23.707,7.479952,7.273315,0.206636,677.3354,0.884385,0.068271,0.885234,0.046494,102400,69359145,3186,57264,7,137
21800,26.23,23.927,7.502645,7.30542,0.197225,637.4546,0.855615,0.06374,0.843936,0.092324,102400,65275347,3201,57373,8,137
22000,26.513,24.19,7.520393,7.356323,0.164069,658.1511,0.838398,0.066396,0.823301,0.110303,102400,67394668,3088,57592,7,138
22200,26.771,24.429,7.51536,7.317505,0.197855,735.3108,0.838613,0.075518,0.830254,0.094229,102400,75295831,3059,57318,8,139
22400,27.029,24.666,7.536544,7.268799,0.267745,734.4064,0.824736,0.07541,0.821221,0.103369,102400,75203211,3142,56953,6,140
22600,27.348,24.959,7.49909,7.264038,0.235052,766.5396,0.830117,0.079619,0.839707,0.080674,102400,78493654,3144,57176,7,141
22800,27.617,25.207,7.48862,7.283081,0.205539,774.4279,0.847549,0.080469,0.847031,0.0725,102400,79301412,3212,57426,4,141
23000,27.881,25.451,7.511757,7.31189,0.199868,772.7818,0.836855,0.080156,0.859922,0.059922,102400,79132855,3143,57453,9,143
23200,28.146,25.698,7.534007,7.334839,0.199169,778.7353,0.849492,0.080918,0.857178,0.061904,102400,79742493,3195,57548,12,144
23400,28.441,25.965,7.521212,7.301636,0.219577,789.976,0.858857,0.082383,0.845879,0.071738,102400,80893545,3095,57327,6,144
23600,28.705,26.208,7.509897,7.265747,0.24415,699.6843,0.870293,0.07123,0.863516,0.065254,102400,71647675,3248,57217,8,145
23800,28.946,26.43,7.552283,7.321045,0.231238,675.1747,0.855889,0.068525,0.841689,0.089785,102400,69137892,3184,57390,7,145
24000,29.196,26.66,7.530688,7.30249,0.228198,667.406,0.841533,0.06793,0.8121,0.119971,102400,68342373,3117,57275,6,145
24200,29.428,26.872,7.503599,7.234863,0.268736,612.9007,0.838398,0.061348,0.800303,0.13835,102400,62761031,3144,57146,7,146
24400,29.657,27.081,7.495398,7.236694,0.258703,572.6043,0.843809,0.056191,0.819473,0.124336,102400,58634677,3191,57171,8,146
24600,29.88,27.284,7.48877,7.205933,0.282837,560.3781,0.8729,0.054375,0.839688,0.105938,102400,57382719,3121,56949,9,147
24800,30.1,27.485,7.490365,7.216187,0.274179,555.0254,0.877686,0.053682,0.850088,0.09623,102400,56834600,3149,57033,7,148
