# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       574  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       379  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       261  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       213  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       170  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
       149  ................  05050505050505050505050505050505
       129  ................  a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4
       125  ................  01010101010101010101010101010101
       121  ................  cccccccccccccccccccccccccccccccc
# epoch 2750  H=7.8260 C=7.6250 HO=0.1334  A(t)=293
       763  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       636  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       532  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       172  ................  ffffffffffffffffffffffffffffffff
       132  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       104  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       101  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        93  ................  81818181818181818181818181818181
        92  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        79  9999999999999999  39393939393939393939393939393939
# epoch 3000  H=7.8208 C=7.6247 HO=0.1284  A(t)=296
       604  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       416  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       357  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       264  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       164  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       153  ................  01010101010101010101010101010101
       132  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       117  ................  02020202020202020202020202020202
       114  ................  04040404040404040404040404040404
        99  0000000000000000  30303030303030303030303030303030
# epoch 3250  H=7.8108 C=7.6130 HO=0.1318  A(t)=301
       665  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       611  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       450  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       242  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       144  ................  01010101010101010101010101010101
       136  ................  ffffffffffffffffffffffffffffffff
       119  ................  0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d
       104  ................  04040404040404040404040404040404
       100  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        99  ................  fefefefefefefefefefefefefefefefe
# epoch 3500  H=7.8077 C=7.5942 HO=0.1475  A(t)=307
       592  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       505  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       384  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       160  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       154  ................  01010101010101010101010101010101
       127  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       106  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        97  ))))))))))))))))  29292929292929292929292929292929
        97  ................  02020202020202020202020202020202
        96  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
# epoch 3750  H=7.8021 C=7.5780 HO=0.1560  A(t)=307
       705  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       682  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       519  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       207  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       196  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       176  ................  01010101010101010101010101010101
       164  ................  02020202020202020202020202020202
       131  ................  81818181818181818181818181818181
       131  ................  05050505050505050505050505050505
        98  ................  82828282828282828282828282828282
# epoch 4000  H=6.1878 C=0.7971 HO=5.6902  A(t)=307
     21415  .[>}.B44,,.:..]]  ff5b3e7dfc4234342c2cf83aec9b5d5d
     21120  .....+9./.,..[>}  80fcfc8ffe2b398f2ffe2cffff5b3e7d
     21013  .,..[>}.B44,,.:.  fe2cffff5b3e7dfc4234342c2cf83aec
     20903  @.....+9./.,..[>  4080fcfc8ffe2b398f2ffe2cffff5b3e
     20897  ,..[>}.B44,,.:..  2cffff5b3e7dfc4234342c2cf83aec9b
     20533  9./.,..[>}.B44,,  398f2ffe2cffff5b3e7dfc4234342c2c
     20526  ..+9./.,..[>}.B4  8ffe2b398f2ffe2cffff5b3e7dfc4234
     20428  .+9./.,..[>}.B44  fe2b398f2ffe2cffff5b3e7dfc423434
     20419  /.,..[>}.B44,,.:  2ffe2cffff5b3e7dfc4234342c2cf83a
     20367  ...+9./.,..[>}.B  fc8ffe2b398f2ffe2cffff5b3e7dfc42
# epoch 4250  H=6.3637 C=0.9968 HO=5.8466  A(t)=307
     10146  .....+9./.,..[>}  80fcfc8ffe2b398f2ffe2cffff5b3e7d
      9968  .[>}.B44,,.:..]]  ff5b3e7dfc4234342c2cf83aec9b5d5d
