epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
2150,60.745,44.5,7.986583,7.909714,0.076869,7.956207,7.894974,0.091609,618.9783,0.426523,0.889428,94.4967,0.06666,0.35374,0.5796,204800,126766757,6236,463604,62,153,62,153
2200,62.268,45.634,7.986075,7.903549,0.082526,7.953476,7.892136,0.093939,602.5716,0.424805,0.886953,91.4242,0.064634,0.351328,0.584038,204800,123406655,6360,463480,61,155,61,155
2250,63.718,46.729,7.98567,7.904343,0.081328,7.957047,7.892853,0.092818,587.8289,0.422007,0.884298,90.7601,0.062769,0.349971,0.587261,204800,120387349,6261,463562,58,157,58,157
2300,65.083,47.72,7.985125,7.901581,0.083544,7.955887,7.891296,0.093829,593.4413,0.420757,0.88629,93.7785,0.063486,0.346855,0.589658,204800,121536784,6344,463466,55,158,55,158
2350,66.421,48.698,7.984883,7.904678,0.080205,7.958923,7.892899,0.091985,586.9371,0.420522,0.885258,91.7417,0.062607,0.346143,0.59125,204800,120204721,6201,463603,57,160,57,160
2400,67.779,49.697,7.984918,7.907104,0.077814,7.958588,7.894836,0.090082,590.3597,0.419048,0.88641,92.4913,0.06312,0.342949,0.593931,204800,120905667,6381,463720,56,160,56,160
2450,69.142,50.683,7.984965,7.902588,0.082377,7.953552,7.889969,0.094996,583.3251,0.419512,0.88529,93.6875,0.062114,0.3421,0.595786,204800,119464986,6241,463462,55,161,55,161
2500,70.524,51.708,7.984902,7.900558,0.084344,7.954071,7.888275,0.096627,574.7134,0.414507,0.884156,90.8805,0.061157,0.341123,0.59772,204800,117701302,6297,463352,51,161,51,161
2550,71.882,52.678,7.984834,7.900162,0.084672,7.94986,7.887207,0.097627,573.136,0.415649,0.883432,90.0176,0.060884,0.343164,0.595952,204800,117378262,6312,463273,51,161,51,161
2600,73.246,53.672,7.984624,7.900711,0.083913,7.94809,7.887314,0.09731,586.4069,0.416543,0.886663,95.1246,0.062568,0.339517,0.597915,204800,120096140,6287,463274,53,166,53,166
2650,74.559,54.61,7.984447,7.899872,0.084575,7.948746,7.886292,0.098156,584.8116,0.417178,0.886678,96.215,0.062441,0.338853,0.598706,204800,119769409,6333,463174,55,168,55,168
2700,75.936,55.604,7.984377,7.897583,0.086794,7.95018,7.885025,0.099352,583.8776,0.41564,0.886319,96.4186,0.062271,0.339731,0.597998,204800,119578142,6377,463175,58,171,58,171
2750,77.306,56.608,7.984179,7.894943,0.089236,7.951279,7.88559,0.09859,582.4048,0.413564,0.886545,98.0068,0.062241,0.337422,0.600337,204800,119276505,6244,463207,60,172,60,172
2800,78.729,57.661,7.983953,7.904022,0.07993,7.953796,7.889709,0.094243,608.0034,0.409927,0.892162,103.1931,0.065464,0.331621,0.602915,204800,124519088,6255,463480,59,174,59,174
2850,80.141,58.7,7.983941,7.901093,0.082848,7.957062,7.889648,0.094292,599.0034,0.412036,0.890453,101.2148,0.064326,0.332329,0.603345,204800,122675905,6305,463573,56,174,56,174
2900,81.49,59.703,7.983617,7.900681,0.082937,7.955475,7.890472,0.093145,604.1597,0.411299,0.891504,98.9347,0.065024,0.331299,0.603677,204800,123731906,6350,463616,60,175,60,175
2950,82.944,60.805,7.98366,7.903717,0.079943,7.958893,7.892044,0.091616,610.6044,0.410874,0.892504,102.2377,0.065947,0.330996,0.603057,204800,125051783,6314,463757,57,175,57,175
3000,84.271,61.772,7.983524,7.90625,0.077274,7.954987,7.892639,0.090885,594.5382,0.410737,0.890033,96.7012,0.064009,0.329766,0.606226,204800,121761429,6297,463834,55,176,55,176
3050,85.609,62.741,7.983283,7.907089,0.076194,7.957642,7.892792,0.090492,597.5305,0.412734,0.890393,99.3957,0.064385,0.331416,0.604199,204800,122374249,6261,463801,54,176,54,176
3100,87.059,63.785,7.983193,7.907669,0.075524,7.95813,7.894073,0.08912,600.8488,0.411992,0.89091,102.6744,0.064829,0.3327,0.602471,204800,123053836,6445,463865,55,179,55,179
3150,88.396,64.762,7.983041,7.905487,0.077554,7.957382,7.892548,0.090493,602.9651,0.410903,0.891477,101.4182,0.065054,0.331499,0.603447,204800,123487259,6355,463786,56,179,56,179
3200,89.718,65.73,7.982978,7.907211,0.075767,7.958588,7.89537,0.087608,592.2088,0.412388,0.889216,101.1551,0.063682,0.332241,0.604077,204800,121284367,6299,463912,53,182,53,182
3250,91.082,66.733,7.982548,7.904388,0.078159,7.958878,7.891434,0.091114,599.7646,0.409463,0.891006,102.2374,0.064683,0.331133,0.604185,204800,122831800,6301,463706,52,182,52,182
3300,92.426,67.724,7.982357,7.908386,0.073971,7.962021,7.893082,0.089276,604.84,0.409771,0.892427,101.4175,0.065405,0.329028,0.605566,204800,123871239,6185,463831,50,182,50,182
3350,93.775,68.715,7.982233,7.907166,0.075067,7.959366,7.892471,0.089761,604.5546,0.40875,0.892405,102.0686,0.065371,0.328979,0.605649,204800,123812786,6393,463788,49,182,49,182
3400,95.099,69.686,7.982099,7.906189,0.07591,7.958679,7.892365,0.089734,598.9556,0.408184,0.891582,102.2912,0.064702,0.327466,0.607832,204800,122666107,6221,463775,51,185,51,185
3450,96.429,70.657,7.981983,7.904572,0.077411,7.956039,7.891083,0.0909,592.9466,0.40604,0.890635,100.3405,0.063887,0.326226,0.609888,204800,121435468,6266,463663,50,186,50,186
3500,97.788,71.657,7.981836,7.905258,0.076577,7.955429,7.892471,0.089364,598.9615,0.407104,0.89144,102.9197,0.064741,0.328604,0.606655,204800,122667318,6181,463742,53,186,53,186
3550,99.148,72.638,7.981595,7.90567,0.075925,7.957581,7.893616,0.087979,596.6678,0.410884,0.890975,101.4138,0.064414,0.328262,0.607324,204800,122197561,6276,463773,51,186,51,186
