# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
        47  ................  88888888888888888888888888888888
        46  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        43  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        41  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        38  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
        35  ................  fafafafafafafafafafafafafafafafa
# epoch 600  H=7.9956 C=7.9350 HO=0.0620  A(t)=75
       233  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        79  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        62  ................  ffffffffffffffffffffffffffffffff
        62  gggggggggggggggg  67676767676767676767676767676767
        61  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        51  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        47  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
        46  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        45  ................  88888888888888888888888888888888
        38  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 650  H=7.9952 C=7.9294 HO=0.0632  A(t)=80
       243  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       122  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        92  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        87  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
        55  ................  ffffffffffffffffffffffffffffffff
        50  gggggggggggggggg  67676767676767676767676767676767
        49  ................  cacacacacacacacacacacacacacacaca
        46  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        42  ................  b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7
        41  ................  89898989898989898989898989898989
# epoch 700  H=7.9949 C=7.9293 HO=0.0658  A(t)=82
       218  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       121  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        96  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        59  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
        49  ................  ffffffffffffffffffffffffffffffff
        47  ................  cacacacacacacacacacacacacacacaca
        45  ................  fafafafafafafafafafafafafafafafa
        39  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        36  ................  b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7
        36  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
# epoch 750  H=7.9946 C=7.9275 HO=0.0667  A(t)=88
       213  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        87  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        83  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        68  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        59  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
        57  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        52  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        49  ................  ffffffffffffffffffffffffffffffff
        45  ................  fafafafafafafafafafafafafafafafa
        39  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
# epoch 800  H=7.9943 C=7.9293 HO=0.0667  A(t)=89
       202  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        83  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        68  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        68  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        51  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        49  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        41  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        41  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
        40  ................  ffffffffffffffffffffffffffffffff
        39  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
# epoch 850  H=7.9941 C=7.9297 HO=0.0629  A(t)=93
       220  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        68  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        55  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        49  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        42  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        41  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        36  ................  ffffffffffffffffffffffffffffffff
        24  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        23  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
# epoch 900  H=7.9936 C=7.9273 HO=0.0632  A(t)=96
       228  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       101  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        99  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        91  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        49  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        38  ................  17171717171717171717171717171717
        36  ................  ffffffffffffffffffffffffffffffff
        28  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        26  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        23  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
# epoch 950  H=7.9933 C=7.9265 HO=0.0638  A(t)=99
       238  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       117  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        83  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        75  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        44  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        38  ................  17171717171717171717171717171717
        36  ................  ffffffffffffffffffffffffffffffff
        27  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        25  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        22  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
# epoch 1000  H=7.9932 C=7.9250 HO=0.0654  A(t)=100
       238  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       122  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       112  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        80  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        47  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        44  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        30  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        28  ................  17171717171717171717171717171717
        26  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        25  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
# epoch 1050  H=7.9929 C=7.9255 HO=0.0675  A(t)=101
       250  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       146  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       104  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        75  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        35  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        31  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        30  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        28  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        28  ................  17171717171717171717171717171717
        26  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
# epoch 1100  H=7.9926 C=7.9223 HO=0.0674  A(t)=103
       219  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       155  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       145  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        50  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        48  ................  ecececececececececececececececec
        47  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        41  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        34  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        33  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        31  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
# epoch 1150  H=7.9924 C=7.9205 HO=0.0661  A(t)=105
