# epoch 0  H=7.9996 C=8.0025 HO=-0.0005  A(t)=0
# epoch 1500  H=7.9904 C=7.9153 HO=0.0719  A(t)=126
       187  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  ________________  20202020202020202020202020202020
        48  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        47  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        47  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        45  ................  dadadadadadadadadadadadadadadada
        41  ................  14141414141414141414141414141414
        39  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        36  3333333333333333  33333333333333333333333333333333
        31  ................  fefefefefefefefefefefefefefefefe
# epoch 1550  H=7.9903 C=7.9150 HO=0.0720  A(t)=130
       210  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       101  ________________  20202020202020202020202020202020
        65  ................  02020202020202020202020202020202
        49  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
        43  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        41  ................  14141414141414141414141414141414
        36  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        30  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        29  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        28  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
# epoch 1600  H=7.9899 C=7.9147 HO=0.0744  A(t)=130
       238  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        77  ________________  20202020202020202020202020202020
        52  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
        49  ................  02020202020202020202020202020202
        40  ................  93939393939393939393939393939393
        37  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        36  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        29  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        28  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
# epoch 1650  H=7.9897 C=7.9151 HO=0.0716  A(t)=132
       229  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        77  ________________  20202020202020202020202020202020
        49  ................  02020202020202020202020202020202
        46  ................  00000000000000000000000000000000
