epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
4900,14.467,10.3,1.146284,1.128906,0.017377,128.8457,0.850312,0.0,0.997461,0.002539,51200,6596900,815,9209,296,655
4950,14.59,10.368,1.189635,1.162109,0.027526,128.9562,0.865645,0.0,0.999238,0.000762,51200,6602556,747,9518,295,655
5000,14.711,10.437,1.236257,1.18042,0.055837,128.9048,0.859609,0.0,0.998418,0.001582,51200,6599924,793,9564,296,656
5050,14.83,10.504,1.235069,1.169678,0.065391,128.9487,0.849707,0.0,0.999238,0.000762,51200,6602172,754,9673,300,662
5100,14.949,10.573,1.174352,1.139404,0.034947,128.7797,0.865117,0.0,0.996738,0.003262,51200,6593522,786,9142,295,673
5150,15.069,10.641,1.276561,1.230225,0.046336,128.4947,0.845801,0.0,0.992207,0.007793,51200,6578928,810,10412,297,683
5200,15.189,10.709,1.411426,1.298828,0.112598,128.4391,0.85918,0.0,0.99125,0.00875,51200,6576080,781,10884,289,684
5250,15.311,10.778,1.352512,1.275146,0.077366,128.3164,0.849492,0.0,0.989746,0.010254,51200,6569798,782,10523,292,695
5300,15.43,10.846,1.263217,1.193237,0.069979,128.4751,0.841738,0.0,0.992363,0.007637,51200,6577927,769,9858,289,695
5350,15.552,10.916,1.248053,1.202759,0.045294,128.5085,0.828145,0.0,0.992871,0.007129,51200,6579636,825,10295,280,695
5400,15.676,10.987,1.295372,1.231689,0.063682,128.4828,0.837109,0.0,0.991816,0.008184,51200,6578319,822,11029,285,703
5450,15.797,11.055,1.275972,1.218384,0.057589,128.5502,0.826855,0.0,0.992949,0.007051,51200,6581770,791,10514,287,708
5500,15.924,11.124,1.290569,1.237183,0.053386,128.7691,0.843789,0.0,0.996602,0.003398,51200,6592979,765,10472,283,716
5550,16.047,11.193,1.36289,1.266602,0.096289,128.7697,0.848027,0.0,0.996504,0.003496,51200,6593007,803,10929,294,734
5600,16.168,11.261,1.466949,1.339478,0.127471,128.8902,0.846914,0.0,0.998223,0.001777,51200,6599179,803,12250,321,761
5650,16.288,11.331,1.499181,1.38623,0.11295,128.8663,0.831113,0.0,0.997793,0.002207,51200,6597953,764,12461,321,771
5700,16.407,11.4,1.43104,1.316406,0.114634,128.9791,0.810645,0.0,0.99959,0.00041,51200,6603730,826,12134,321,779
5750,16.527,11.468,1.341838,1.242798,0.09904,128.9596,0.814238,0.0,0.999395,0.000605,51200,6602729,756,10969,307,783
5800,16.673,11.542,1.26999,1.216064,0.053925,128.7523,0.801953,0.0,0.996055,0.003945,51200,6592119,781,10397,305,788
