# epoch 0  H=7.9973 C=8.0032 HO=-0.0059  A(t)=0
       158  ................  02020202020202020202020202020202
        97  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        49  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        47  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        37  ................  ffffffffffffffffffffffffffffffff
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 440  H=7.9481 C=7.5392 HO=0.4089  A(t)=51
       226  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       217  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       181  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       149  ................  02020202020202020202020202020202
        85  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        49  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        46  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        45  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        36  ................  ffffffffffffffffffffffffffffffff
# epoch 460  H=7.9473 C=7.5369 HO=0.4104  A(t)=51
       214  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       181  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       173  ................  02020202020202020202020202020202
       167  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        85  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        49  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        47  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        36  ................  ffffffffffffffffffffffffffffffff
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 480  H=7.9481 C=7.5396 HO=0.4086  A(t)=51
       199  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       173  ................  02020202020202020202020202020202
       168  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       138  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        85  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        47  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        46  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        28  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 500  H=7.9482 C=7.5555 HO=0.3927  A(t)=51
       167  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       160  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       142  ................  02020202020202020202020202020202
       108  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        82  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        46  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        40  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        28  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 520  H=7.9478 C=7.5619 HO=0.3859  A(t)=52
       157  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       147  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       127  ................  02020202020202020202020202020202
       107  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        61  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        37  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        29  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        23  ................  cbcbcbcbcbcbcbcbcbcbcbcbcbcbcbcb
# epoch 540  H=7.9482 C=7.5721 HO=0.3761  A(t)=52
       153  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       143  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       119  ................  02020202020202020202020202020202
        91  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        61  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        29  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        28  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        23  ................  cbcbcbcbcbcbcbcbcbcbcbcbcbcbcbcb
# epoch 560  H=7.9467 C=7.5662 HO=0.3805  A(t)=52
       153  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       134  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       114  ................  02020202020202020202020202020202
        90  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        61  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        47  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        29  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        27  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
        23  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
# epoch 580  H=7.9448 C=7.5464 HO=0.3984  A(t)=52
       144  ................  83838383838383838383838383838383
       134  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       124  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       109  ................  02020202020202020202020202020202
        80  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        52  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        50  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        47  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        29  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 600  H=7.9409 C=7.5164 HO=0.4246  A(t)=52
       195  ................  83838383838383838383838383838383
       129  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       124  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
       109  ................  02020202020202020202020202020202
        96  ................  84848484848484848484848484848484
        56  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        52  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        49  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        48  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        32  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 620  H=7.9413 C=7.5220 HO=0.4194  A(t)=53
       156  ................  83838383838383838383838383838383
       116  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       116  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
        99  ................  02020202020202020202020202020202
        90  ................  84848484848484848484848484848484
        50  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        49  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        48  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        48  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        31  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
