# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       114  ................  01010101010101010101010101010101
       112  ................  81818181818181818181818181818181
# epoch 3000  H=7.8189 C=7.6258 HO=0.1279  A(t)=296
       618  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       610  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       481  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       159  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       122  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       122  ((((((((((((((((  28282828282828282828282828282828
       120  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       107  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
        93  ................  03030303030303030303030303030303
        91  wwwwwwwwwwwwwwww  77777777777777777777777777777777
# epoch 3250  H=7.8139 C=7.6084 HO=0.1378  A(t)=296
       753  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       423  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       420  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       233  ................  01010101010101010101010101010101
       193  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       156  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       140  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       136  ................  16161616161616161616161616161616
       135  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       125  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 3500  H=7.8050 C=7.6034 HO=0.1382  A(t)=297
       646  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       437  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       261  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       218  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       169  ................  cacacacacacacacacacacacacacacaca
       158  cccccccccccccccc  63636363636363636363636363636363
       127  ................  01010101010101010101010101010101
       126  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       125  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        99  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
# epoch 3750  H=7.7963 C=7.5869 HO=0.1430  A(t)=300
       672  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       666  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       495  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       268  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       143  ................  ffffffffffffffffffffffffffffffff
       138  ................  fefefefefefefefefefefefefefefefe
       130  ................  01010101010101010101010101010101
       111  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       110  ................  02020202020202020202020202020202
        96  ((((((((((((((((  28282828282828282828282828282828
# epoch 4000  H=7.7945 C=7.5826 HO=0.1467  A(t)=301
       587  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       429  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       341  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       166  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       146  ................  10101010101010101010101010101010
       125  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       122  ................  ffffffffffffffffffffffffffffffff
       112  ................  02020202020202020202020202020202
       107  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        88  ................  01010101010101010101010101010101
# epoch 4250  H=7.7939 C=7.5749 HO=0.1489  A(t)=301
       648  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       439  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       383  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       201  ................  01010101010101010101010101010101
       183  ................  ffffffffffffffffffffffffffffffff
       152  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       114  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
       113  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       111  ................  03030303030303030303030303030303
       103  IIIIIIIIIIIIIIII  49494949494949494949494949494949
# epoch 4500  H=7.7887 C=7.5721 HO=0.1476  A(t)=302
       687  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       493  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       377  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       270  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       140  ................  fefefefefefefefefefefefefefefefe
       136  ................  02020202020202020202020202020202
       130  ................  01010101010101010101010101010101
       127  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       126  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       120  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 4750  H=7.7825 C=7.5661 HO=0.1501  A(t)=302
       826  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       600  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       525  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       202  ................  01010101010101010101010101010101
       137  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
       106  ................  11111111111111111111111111111111
       105  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       102  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       101  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        95  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
# epoch 5000  H=7.7847 C=7.5799 HO=0.1386  A(t)=305
       470  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       407  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       371  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       198  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
