# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       221  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       131  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       128  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
       114  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       106  IIIIIIIIIIIIIIII  49494949494949494949494949494949
        97  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
        93  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
# epoch 4000  H=7.8007 C=7.5794 HO=0.1544  A(t)=307
       489  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       405  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       336  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       260  ................  ffffffffffffffffffffffffffffffff
       247  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       141  3333333333333333  33333333333333333333333333333333
       135  ................  fefefefefefefefefefefefefefefefe
       131  ................  01010101010101010101010101010101
       127  9999999999999999  39393939393939393939393939393939
       107  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 4250  H=7.7927 C=7.5736 HO=0.1507  A(t)=307
       905  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       599  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       334  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       157  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       118  ................  04040404040404040404040404040404
       107  ................  08080808080808080808080808080808
       105  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        84  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        83  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
        78  0000000000000000  30303030303030303030303030303030
# epoch 4500  H=7.7954 C=7.5778 HO=0.1497  A(t)=307
       442  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
