epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
3400,18.009,13.97,1.898083,1.694702,0.203381,183.7888,0.767715,0.006914,0.980176,0.01291,51200,9409985,770,15440,294,489
3450,18.238,14.112,1.866855,1.667603,0.199252,182.1827,0.765234,0.00668,0.980977,0.012344,51200,9327753,801,14863,294,490
3500,18.366,14.188,1.852933,1.655884,0.19705,178.4996,0.779141,0.00625,0.981738,0.012012,51200,9139181,767,15076,290,492
3550,18.542,14.265,1.689521,1.525146,0.164374,180.4236,0.782422,0.006445,0.985801,0.007754,51200,9237686,773,13368,289,496
3600,18.738,14.409,1.586942,1.445312,0.14163,157.973,0.776523,0.003633,0.991543,0.004824,51200,8088217,746,11919,281,496
3650,18.863,14.48,1.548265,1.394531,0.153734,158.5058,0.795312,0.003711,0.99,0.006289,51200,8115499,772,11763,280,496
3700,19.064,14.576,1.534648,1.380493,0.154155,161.696,0.820547,0.004121,0.987852,0.008027,51200,8278834,761,11630,285,501
3750,19.316,14.72,1.428837,1.320801,0.108036,142.4282,0.823789,0.001699,0.994199,0.004102,51200,7292324,798,10279,286,506
3800,19.556,14.862,1.373037,1.258423,0.114615,143.3829,0.83293,0.001836,0.991816,0.006348,51200,7341207,756,10049,288,506
3850,19.801,15.002,1.438613,1.307251,0.131362,144.6319,0.827227,0.001973,0.993945,0.004082,51200,7405155,756,10734,296,516
3900,20.046,15.137,1.341214,1.224365,0.116849,135.2063,0.834473,0.00082,0.99291,0.00627,51200,6922561,787,9674,294,517
3950,20.287,15.273,1.104259,1.070801,0.033458,128.6716,0.858867,0.0,0.995215,0.004785,51200,6587984,810,7551,300,525
4000,20.533,15.409,1.024543,0.997681,0.026862,133.3902,0.85082,0.000586,0.994141,0.005273,51200,6829578,801,6884,289,525
4050,20.782,15.545,1.006819,0.99231,0.014509,142.7676,0.856055,0.001777,0.990098,0.008125,51200,7309700,797,6446,280,528
4100,21.029,15.682,1.014501,1.00708,0.007421,134.8657,0.856465,0.000762,0.99502,0.004219,51200,6905126,780,6783,278,531
4150,21.263,15.813,0.989087,0.963745,0.025341,128.8183,0.868145,0.0,0.996836,0.003164,51200,6595495,719,6511,272,531
4200,21.506,15.941,0.969502,0.977539,-0.008037,128.6793,0.883066,0.0,0.995215,0.004785,51200,6588378,802,6363,280,539
4250,21.745,16.076,1.018149,0.997925,0.020225,128.6385,0.884688,0.0,0.99457,0.00543,51200,6586293,765,6973,293,550
4300,21.98,16.212,0.976721,0.996216,-0.019495,130.3286,0.853633,0.000195,0.996055,0.00375,51200,6672823,774,7100,289,553
4350,22.218,16.343,0.981407,1.004883,-0.023476,128.7517,0.843301,0.0,0.996152,0.003848,51200,6592089,740,7362,290,562
4400,22.459,16.478,1.096727,1.095337,0.00139,128.8562,0.837285,0.0,0.997734,0.002266,51200,6597437,773,8456,283,570
4450,22.705,16.615,1.088596,1.075195,0.013401,128.8638,0.857383,0.0,0.997656,0.002344,51200,6597827,793,7937,285,575
4500,22.986,16.791,1.133583,1.06604,0.067543,129.1178,0.854023,2e-05,0.999473,0.000508,51200,6610830,768,7714,296,583
4550,23.166,16.88,1.288279,1.223145,0.065134,128.9554,0.841074,0.0,0.999297,0.000703,51200,6602516,868,9707,306,595
4600,23.338,16.998,1.213359,1.192139,0.021221,129.1199,0.850527,2e-05,0.998848,0.001133,51200,6610937,860,9675,293,597
4650,23.488,17.069,1.249758,1.171509,0.078249,128.9741,0.832539,0.0,0.999609,0.000391,51200,6603474,771,9328,284,601
4700,23.725,17.212,1.3042,1.210693,0.093507,129.0,0.840977,0.0,1.0,0.0,51200,6604800,784,9679,280,609
4750,23.849,17.281,1.165584,1.105225,0.060359,129.0,0.860859,0.0,1.0,0.0,51200,6604800,740,8326,275,612
4800,23.972,17.35,1.057818,1.026245,0.031573,128.9838,0.863281,0.0,0.999746,0.000254,51200,6603971,746,7059,287,623
4850,24.153,17.418,1.026463,1.012817,0.013646,128.9991,0.86709,0.0,0.99998,2e-05,51200,6604754,801,6942,291,627
4900,24.306,17.514,1.050106,1.024658,0.025448,129.0,0.860977,0.0,1.0,0.0,51200,6604800,763,6882,287,629
4950,24.431,17.582,1.091706,1.0802,0.011506,128.909,0.855059,0.0,0.99873,0.00127,51200,6600141,799,7578,288,635
5000,24.621,17.674,1.226099,1.146851,0.079248,128.9377,0.856387,0.0,0.999102,0.000898,51200,6601610,791,9292,289,644
5050,24.851,17.811,1.232705,1.142456,0.090249,128.8991,0.848574,0.0,0.998398,0.001602,51200,6599632,754,9097,297,659
5100,24.976,17.879,1.306622,1.203735,0.102887,128.8551,0.841133,0.0,0.997773,0.002227,51200,6597380,774,10378,278,662
5150,25.11,17.948,1.288413,1.220703,0.067709,128.8165,0.843457,0.0,0.997109,0.002891,51200,6595407,757,10486,275,662
5200,25.328,18.086,1.35807,1.274536,0.083534,128.7914,0.84791,0.0,0.996797,0.003203,51200,6594121,733,11340,271,662
5250,25.449,18.155,1.335628,1.283813,0.051814,128.9527,0.8375,0.0,0.999258,0.000742,51200,6602379,765,10834,274,662
5300,25.573,18.224,1.361147,1.290283,0.070863,128.897,0.817949,0.0,0.998398,0.001602,51200,6599524,729,11212,284,669
5350,25.814,18.361,1.360402,1.282104,0.078298,128.9434,0.82002,0.0,0.998984,0.001016,51200,6601901,811,10888,278,670
5400,25.942,18.437,1.358209,1.258423,0.099787,128.9081,0.835332,0.0,0.998633,0.001367,51200,6600095,824,10508,283,671
5450,26.077,18.506,1.331055,1.254761,0.076295,128.8865,0.831953,0.0,0.998379,0.001621,51200,6598990,813,9976,296,679
5500,26.263,18.635,1.298473,1.245605,0.052867,128.9243,0.835469,0.0,0.998887,0.001113,51200,6600925,806,9774,285,679
5550,26.387,18.703,1.162351,1.132324,0.030027,128.7143,0.852031,0.0,0.99582,0.00418,51200,6590174,796,8346,275,679
5600,26.531,18.771,1.086655,1.103394,-0.016739,128.7978,0.845039,0.0,0.996719,0.003281,51200,6594446,786,8086,275,680
5650,26.745,18.908,1.049679,1.057739,-0.00806,128.8215,0.841953,0.0,0.997383,0.002617,51200,6595659,779,7438,276,682
5700,26.871,18.976,1.205389,1.139893,0.065497,128.8013,0.847578,0.0,0.997031,0.002969,51200,6594628,799,8988,278,685
5750,27.033,19.047,1.132711,1.089966,0.042745,128.8784,0.83957,0.0,0.998047,0.001953,51200,6598573,787,8431,283,695
5800,27.155,19.116,1.161539,1.127441,0.034098,128.9416,0.84834,0.0,0.999043,0.000957,51200,6601808,722,9233,296,702
5850,27.307,19.184,1.20994,1.15979,0.05015,128.9754,0.86375,0.0,0.999629,0.000371,51200,6603539,835,9025,307,715
5900,27.494,19.316,1.261664,1.185547,0.076117,128.9693,0.855918,0.0,0.999512,0.000488,51200,6603230,810,9451,301,721
5950,27.617,19.385,1.304124,1.227783,0.076341,128.9633,0.842012,0.0,0.999453,0.000547,51200,6602919,803,10586,300,728
6000,27.788,19.453,1.282543,1.24353,0.039013,128.87,0.841758,0.0,0.997891,0.002109,51200,6598146,772,10883,292,735
6050,28.027,19.589,1.326499,1.258667,0.067832,128.8552,0.846484,0.0,0.997812,0.002188,51200,6597384,796,10959,277,735
6100,28.231,19.725,1.276513,1.195801,0.080713,128.9338,0.844199,0.0,0.999082,0.000918,51200,6601412,807,10201,267,735
6150,28.351,19.793,1.255023,1.179199,0.075823,128.6758,0.840898,0.0,0.994805,0.005195,51200,6588200,818,10069,276,741
6200,28.567,19.89,1.258683,1.206909,0.051774,128.8322,0.848242,0.0,0.997305,0.002695,51200,6596209,777,9528,290,759
6250,28.767,20.014,1.200827,1.158081,0.042746,128.8261,0.865176,0.0,0.997188,0.002812,51200,6595897,796,9293,286,761
6300,28.918,20.086,1.111702,1.067139,0.044563,128.8398,0.866562,0.0,0.997734,0.002266,51200,6596596,745,8375,285,769
6350,29.08,20.191,1.147544,1.077637,0.069907,128.7752,0.86209,0.0,0.996348,0.003652,51200,6593289,780,8705,297,779
6400,29.22,20.26,1.198467,1.143311,0.055157,128.9664,0.844746,0.0,0.999453,0.000547,51200,6603082,774,9680,322,798
6450,29.444,20.396,1.239957,1.187622,0.052335,128.9923,0.838086,0.0,0.999863,0.000137,51200,6604407,746,9783,323,807
6500,29.565,20.464,1.160564,1.135376,0.025188,128.9768,0.845,0.0,0.999668,0.000332,51200,6603612,778,9279,304,811
6550,29.708,20.532,1.301215,1.22998,0.071234,128.8621,0.839199,0.0,0.998047,0.001953,51200,6597740,802,10490,310,831
6600,29.965,20.677,1.404134,1.323975,0.08016,128.8052,0.847363,0.0,0.997285,0.002715,51200,6594827,799,11278,298,832
6650,30.196,20.811,1.327152,1.267822,0.05933,128.5688,0.851191,0.0,0.99377,0.00623,51200,6582722,738,11278,282,840
6700,30.437,20.947,1.42088,1.29248,0.1284,128.5242,0.841758,0.0,0.993184,0.006816,51200,6580440,753,11494,278,842
6750,30.565,21.023,1.502711,1.359131,0.14358,128.696,0.831543,0.0,0.995215,0.004785,51200,6589236,769,11769,292,856
6800,30.709,21.093,1.651816,1.493896,0.15792,128.7675,0.841953,0.0,0.996289,0.003711,51200,6592896,832,13271,296,859
6850,30.962,21.231,1.548998,1.409668,0.13933,128.5566,0.830645,0.0,0.993203,0.006797,51200,6582096,741,12472,299,862
6900,31.094,21.304,1.454753,1.354492,0.100261,128.6913,0.821875,0.0,0.995117,0.004883,51200,6588995,803,11790,310,879
6950,31.217,21.374,1.365298,1.289429,0.075869,128.649,0.80502,0.0,0.994355,0.005645,51200,6586831,792,11325,310,885
7000,31.449,21.489,1.397782,1.327759,0.070024,128.7347,0.816719,0.0,0.996152,0.003848,51200,6591217,764,11877,325,901
7050,31.627,21.611,1.422923,1.341919,0.081005,128.918,0.815234,0.0,0.997969,0.002031,51200,6600600,761,11832,323,907
7100,31.753,21.681,1.382229,1.297363,0.084865,129.077,0.825879,5.9e-05,0.99416,0.005781,51200,6608742,789,10550,314,909
7150,31.916,21.75,1.289108,1.221924,0.067184,128.6123,0.827383,0.0,0.994043,0.005957,51200,6584949,783,9959,302,909
7200,32.106,21.878,1.342697,1.287598,0.0551,128.7915,0.815254,0.0,0.996777,0.003223,51200,6594124,798,10863,300,911
7250,32.236,21.953,1.3546,1.30188,0.05272,128.7083,0.821621,0.0,0.995293,0.004707,51200,6589866,791,11161,291,911
7300,32.369,22.031,1.424679,1.330933,0.093746,128.6765,0.831992,0.0,0.995078,0.004922,51200,6588236,759,11939,299,920
7350,32.577,22.105,1.323697,1.256592,0.067105,128.7072,0.826406,0.0,0.995234,0.004766,51200,6589807,830,10875,301,924
7400,32.707,22.181,1.28544,1.255127,0.030313,128.5419,0.822578,0.0,0.992852,0.007148,51200,6581344,855,11154,310,933
7450,32.826,22.249,1.417784,1.308838,0.108946,128.7413,0.80748,0.0,0.995859,0.004141,51200,6591554,780,11967,303,935
7500,33.01,22.341,1.386162,1.275879,0.110283,128.5308,0.812422,0.0,0.992539,0.007461,51200,6580776,783,11063,288,935
7550,33.131,22.41,1.200695,1.195312,0.005382,128.7265,0.826426,0.0,0.995762,0.004238,51200,6590799,797,9738,289,943
7600,33.264,22.479,1.186271,1.174927,0.011344,128.7679,0.828652,0.0,0.996445,0.003555,51200,6592916,798,9521,291,948
7650,33.386,22.546,1.241689,1.200317,0.041372,128.8231,0.842129,0.0,0.997324,0.002676,51200,6595744,787,9654,292,951
7700,33.599,22.664,1.198444,1.178467,0.019978,132.8344,0.841348,0.000488,0.995469,0.004043,51200,6801119,779,9080,281,952
7750,33.725,22.733,1.244366,1.205811,0.038555,131.506,0.858496,0.000332,0.99668,0.002988,51200,6733106,822,9556,285,953
7800,33.857,22.803,1.29844,1.198364,0.100075,128.9491,0.867949,0.0,0.998301,0.001699,51200,6602194,809,9628,294,955
7850,34.067,22.96,1.214406,1.14502,0.069386,128.9859,0.852715,0.0,0.999805,0.000195,51200,6604080,777,8561,286,956
7900,34.196,23.033,1.14165,1.084717,0.056934,128.9019,0.851406,0.0,0.998438,0.001562,51200,6599779,729,8260,280,956
7950,34.314,23.101,1.156129,1.075806,0.080323,128.8684,0.846211,0.0,0.997891,0.002109,51200,6598060,739,7886,292,962
8000,34.505,23.181,1.180802,1.143921,0.036881,128.873,0.842266,0.0,0.997969,0.002031,51200,6598297,758,8563,292,963
8050,34.746,23.317,1.143565,1.092651,0.050914,128.8155,0.854629,0.0,0.997227,0.002773,51200,6595355,767,7427,284,963
