# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
       359  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        78  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        46  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        39  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        39  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        38  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        33  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        32  0000000000000000  30303030303030303030303030303030
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        23  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 650  H=7.9959 C=7.9621 HO=-0.0042  A(t)=54
       370  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        68  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        60  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        49  ................  16161616161616161616161616161616
        39  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        38  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        32  ................  fefefefefefefefefefefefefefefefe
        32  0000000000000000  30303030303030303030303030303030
        31  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 700  H=7.9956 C=7.9602 HO=-0.0045  A(t)=54
       386  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        58  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        48  ................  dadadadadadadadadadadadadadadada
        44  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        39  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        38  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        29  ................  fefefefefefefefefefefefefefefefe
