# epoch 0  H=7.9999 C=8.0025 HO=-0.0025  A(t)=0
       537  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       389  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       262  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       240  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       218  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
       217  ................  01010101010101010101010101010101
# epoch 4400  H=7.6224 C=7.3178 HO=0.3046  A(t)=351
      1080  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       733  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       590  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       501  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       428  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       271  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       264  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       234  9999999999999999  39393939393939393939393939393939
       222  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       165  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 4600  H=7.6132 C=7.3213 HO=0.2919  A(t)=352
       740  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       722  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       693  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       621  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       510  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       493  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       398  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       333  8888888888888888  38383838383838383838383838383838
       259  9999999999999999  39393939393939393939393939393939
       244  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
# epoch 4800  H=7.6048 C=7.3154 HO=0.2893  A(t)=354
       868  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
