# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       100  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
# epoch 3500  H=7.8004 C=7.5849 HO=0.1502  A(t)=303
       595  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       589  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       505  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       211  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       177  ................  ffffffffffffffffffffffffffffffff
       145  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
       132  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
       122  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       112  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       109  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 3750  H=7.7924 C=7.5697 HO=0.1539  A(t)=304
       611  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       502  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       452  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       188  6666666666666666  36363636363636363636363636363636
       172  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       159  3333333333333333  33333333333333333333333333333333
       156  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       132  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       117  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       102  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
