# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
        37  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
        15  7777777777777777  37373737373737373737373737373737
         6  ...............,  0101010101010101010101010101012c
         5  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         5  ................  02010101010101010101010101010101
         5  ................  01010101010102020101010101010101
         5  ................  01010101010101020201010101010101
# epoch 4000  H=7.1319 C=6.9369 HO=0.3761  A(t)=5
      1027  ................  01010101010101010101010101010101
       264  ................  00000000000000000000000000000000
        60  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        53  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
        21  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
         6  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
         6  ................  02010101010101010101010101010101
         6  ................  01010101010101010101010101010102
         5  ...............,  0101010101010101010101010101012c
         5  ................  0000000000000000000000000000002e
# epoch 4250  H=7.0886 C=6.8646 HO=0.3902  A(t)=5
       775  ................  01010101010101010101010101010101
       268  ................  00000000000000000000000000000000
        56  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        21  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
         7  ................  02020101010101010101010101010101
         7  ................  02010101010101010101010101010101
         6  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
         5  pppppppppppppppp  70707070707070707070707070707070
         5  ................  01020201010101010101010101010101
         5  ................  01010202010101010101010101010101
# epoch 4500  H=7.0475 C=6.8453 HO=0.3687  A(t)=7
      1095  ................  01010101010101010101010101010101
       389  ................  00000000000000000000000000000000
        21  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        15  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        14  ...............,  0101010101010101010101010101012c
         7  ................  02010101010101010101010101010101
         7  ................  01010101010101010101010101010102
         6  ................  01010101010101020101010101010101
         6  ..............,.  01010101010101010101010101012c01
         5  ................  01010101010102010101010101010101
# epoch 4750  H=7.0138 C=6.8239 HO=0.3548  A(t)=8
      1131  ................  01010101010101010101010101010101
       382  ................  00000000000000000000000000000000
        18  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        15  ................  09090909090909090909090909090909
        11  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        10  ...............,  0101010101010101010101010101012c
         8  ................  02010101010101010101010101010101
         6  ..............,.  01010101010101010101010101012c01
         5  ................  01010101010101010101010101010102
         4  ................  01010101010102010101010101010101
# epoch 5000  H=6.9905 C=6.8191 HO=0.3298  A(t)=9
      1419  ................  01010101010101010101010101010101
       492  ................  00000000000000000000000000000000
        14  ...............,  0101010101010101010101010101012c
        10  ................  02010101010101010101010101010101
         9  ..............,.  01010101010101010101010101012c01
         9  ................  01010101010101010101010101010102
         8  ................  01010101010101010102020101010101
         8  ................  01010101010101010101010101010202
         7  ................  01010101010101010202010101010101
         7  ................  01010101010101010101020201010101
# epoch 5250  H=6.9440 C=6.7773 HO=0.3265  A(t)=11
      1396  ................  01010101010101010101010101010101
       629  ................  00000000000000000000000000000000
        16  ...............,  0101010101010101010101010101012c
        10  ..............,.  01010101010101010101010101012c01
         8  ................  02010101010101010101010101010101
         7  pppppppppppppppp  70707070707070707070707070707070
         7  ................  01010101010101010101010101010102
         6  ............,...  0101010101010101010101012c010101
         6  .............,..  010101010101010101010101012c0101
         5  ................  01010202010101010101010101010101
# epoch 5500  H=6.9013 C=6.7025 HO=0.3665  A(t)=11
      1712  ................  01010101010101010101010101010101
       401  ................  00000000000000000000000000000000
        24  ................  02020202020202020202020202020202
        18  ...............,  0101010101010101010101010101012c
        17  ................  10101010101010101010101010101010
        11  ..............,.  01010101010101010101010101012c01
        11  ................  01010101010101010101010101010102
         8  .............,..  010101010101010101010101012c0101
         7  ................  01010101010101010101010101010202
         6  ................  fefefefefefefefefefefefefefefefe
# epoch 5750  H=6.8460 C=6.6219 HO=0.3837  A(t)=12
      1864  ................  01010101010101010101010101010101
       528  ................  00000000000000000000000000000000
        40  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
        18  7777777777777777  37373737373737373737373737373737
        16  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        15  ...............,  0101010101010101010101010101012c
        13  ................  fafafafafafafafafafafafafafafafa
        13  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         9  ................  02010101010101010101010101010101
         9  ................  01010101010101010101010101010102
# epoch 6000  H=6.7663 C=6.5068 HO=0.4127  A(t)=12
      2048  ................  01010101010101010101010101010101
