epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
16750,60.27,57.927,6.461997,6.255981,0.206015,6.334473,6.333008,0.128989,581.016,0.284469,0.811549,48.8361,1.0811,0.056102,0.745449,0.198449,256000,148740093,3916,59394,12,32,12,32,,
17000,61.058,58.679,6.449495,6.252441,0.197054,6.316895,6.334595,0.1149,602.0077,0.285738,0.817713,57.3307,1.6141,0.058449,0.746773,0.194777,256000,154113977,3883,59370,13,32,13,32,,
17250,61.864,59.45,6.472085,6.266235,0.20585,6.343506,6.353516,0.118569,623.526,0.274219,0.824051,58.3864,1.8752,0.060992,0.745223,0.193785,256000,159622648,3854,59194,12,32,12,32,,
17500,62.64,60.189,6.449298,6.225342,0.223956,6.301758,6.299316,0.149981,595.3846,0.278938,0.815019,55.506,1.2443,0.057703,0.749277,0.19302,256000,152418445,3929,58859,11,32,11,32,,
17750,63.353,60.866,6.466086,6.266602,0.199484,6.341309,6.348145,0.117941,513.3198,0.281375,0.783759,40.5557,2.4892,0.046902,0.760672,0.192426,256000,131409880,4008,59292,12,33,12,33,,
18000,64.055,61.531,6.441749,6.256104,0.185645,6.32019,6.325806,0.115943,499.3498,0.28866,0.777968,37.6185,0.8237,0.045547,0.754293,0.20016,256000,127833549,3962,59287,9,33,9,33,,
18250,64.789,62.228,6.451174,6.26709,0.184084,6.337524,6.347656,0.103518,553.9226,0.283109,0.800248,39.6283,1.2765,0.053219,0.75034,0.196441,256000,141804198,4076,59441,9,33,9,33,,
18500,65.54,62.939,6.455801,6.266113,0.189688,6.32605,6.342285,0.113516,556.93,0.278301,0.802821,56.5099,0.8444,0.053133,0.74716,0.199707,256000,142574072,3946,59408,10,34,10,34,,
18750,66.275,63.638,6.390749,6.211792,0.178957,6.280029,6.293945,0.096804,536.8645,0.275941,0.796283,54.84,0.6124,0.051793,0.740379,0.207828,256000,137437318,3872,59125,11,35,11,35,,
19000,67.022,64.347,6.36604,6.193115,0.172925,6.26001,6.274414,0.091626,557.2933,0.263371,0.803599,61.9016,1.1391,0.05432,0.742562,0.203117,256000,142667075,3924,59057,11,35,11,35,,
19250,67.777,65.064,6.346639,6.170044,0.176595,6.223145,6.231934,0.114706,565.4158,0.267863,0.80715,52.7584,0.6767,0.055457,0.734355,0.210188,256000,144746437,3969,58624,13,35,13,35,,
19500,68.555,65.804,6.330935,6.143555,0.187381,6.21814,6.226196,0.104739,601.0852,0.256703,0.819875,56.5165,0.8234,0.059496,0.723094,0.21741,256000,153877800,3873,58642,13,35,13,35,,
19750,69.318,66.531,6.393005,6.199219,0.193786,6.264648,6.283325,0.109679,593.1463,0.248695,0.81817,41.3045,0.4712,0.057957,0.718582,0.223461,256000,151845464,3863,58639,13,35,13,35,,
20000,70.1,67.276,6.417097,6.236694,0.180403,6.295288,6.316162,0.100935,621.4583,0.268535,0.826923,39.2885,1.3445,0.060691,0.712699,0.226609,256000,159093325,3878,58834,13,35,13,35,,
20250,70.996,68.133,6.413809,6.213867,0.199942,6.2854,6.298706,0.115103,765.0396,0.293367,0.858434,47.2444,1.9337,0.078602,0.718637,0.202762,256000,195850127,3880,58784,13,36,13,36,,
20500,71.907,69.005,6.382564,6.150146,0.232418,6.232422,6.240234,0.14233,785.7312,0.304023,0.861818,54.0641,1.8549,0.081402,0.71777,0.200828,256000,201147185,4028,58208,14,36,14,36,,
20750,72.783,69.843,6.400399,6.18042,0.219979,6.253906,6.258789,0.14161,726.3004,0.29793,0.851065,59.6428,1.6225,0.073891,0.715535,0.210574,256000,185932908,3846,58284,14,36,14,36,,
21000,73.62,70.642,6.458875,6.222412,0.236463,6.319092,6.311157,0.147718,672.3938,0.280914,0.838057,65.4489,2.1514,0.066703,0.722535,0.210762,256000,172132804,3933,58944,18,37,18,37,,
21250,74.427,71.413,6.492859,6.256714,0.236145,6.360352,6.351562,0.141296,633.3567,0.280625,0.827791,68.2836,1.6347,0.061336,0.731902,0.206762,256000,162139326,3955,59327,15,37,15,37,,
21500,75.214,72.163,6.447414,6.19458,0.252833,6.299805,6.288818,0.158595,614.623,0.285781,0.821268,51.8162,1.0829,0.058844,0.737121,0.204035,256000,157343483,3943,59379,13,38,13,38,,
21750,75.948,72.858,6.404941,6.151733,0.253207,6.243774,6.250366,0.154575,558.1177,0.285383,0.802093,37.3232,0.9407,0.053078,0.752723,0.194199,256000,142878122,3909,58795,14,38,14,38,,
22000,76.702,73.577,6.423157,6.186646,0.236512,6.263672,6.271851,0.151306,601.3881,0.271609,0.815336,38.7883,0.9672,0.057797,0.761074,0.181129,256000,153955364,3898,58854,14,39,14,39,,
22250,77.475,74.315,6.452311,6.217773,0.234538,6.304077,6.307617,0.144694,543.5336,0.273926,0.7932,40.1158,1.7328,0.050027,0.777438,0.172535,256000,139144611,3927,59208,12,39,12,39,,
22500,78.246,75.05,6.448557,6.194946,0.253611,6.276245,6.273315,0.175242,601.2119,0.282367,0.813281,46.0457,1.4968,0.058059,0.77125,0.170691,256000,153910259,3955,58878,12,40,12,40,,
22750,79.041,75.809,6.456136,6.199707,0.256429,6.286133,6.280273,0.175863,630.1305,0.270762,0.822412,60.6873,0.5577,0.062035,0.764816,0.173148,256000,161313401,3820,58824,10,40,10,40,,
23000,79.791,76.522,6.424082,6.171997,0.252085,6.27832,6.263916,0.160166,559.0997,0.287633,0.8,57.1936,0.5659,0.053805,0.77168,0.174516,256000,143129524,3847,58871,11,41,11,41,,
23250,80.505,77.2,6.424303,6.197388,0.226915,6.291382,6.279907,0.144395,523.0924,0.300844,0.784622,53.8258,1.0064,0.049465,0.783875,0.16666,256000,133911665,3875,59185,12,41,12,41,,
23500,81.238,77.89,6.469126,6.23999,0.229136,6.334717,6.317383,0.151744,453.4445,0.27784,0.749638,45.9756,0.7733,0.040066,0.797441,0.162492,256000,116081802,3847,59373,9,41,9,41,,
23750,81.907,78.525,6.559851,6.344604,0.215246,6.445801,6.440552,0.119299,468.5566,0.263312,0.756874,41.7454,0.4941,0.040777,0.799051,0.160172,256000,119950482,3834,60235,11,41,11,41,,
24000,82.587,79.17,6.558955,6.361694,0.197261,6.458496,6.453491,0.105464,464.1028,0.266352,0.756474,38.6307,0.8788,0.041602,0.792699,0.165699,256000,118810315,3937,60361,13,42,13,42,,
24250,83.266,79.813,6.564942,6.357544,0.207398,6.460938,6.45874,0.106202,440.2398,0.26232,0.743644,27.4298,0.4781,0.038742,0.788582,0.172676,256000,112701391,3887,60277,13,42,13,42,,
24500,83.912,80.424,6.578552,6.405884,0.172668,6.488159,6.493286,0.085266,446.1959,0.260988,0.748649,28.4668,0.5004,0.039742,0.782449,0.177809,256000,114226159,3887,60561,12,42,12,42,,
24750,84.604,81.082,6.59904,6.406616,0.192424,6.505615,6.510376,0.088664,470.271,0.262586,0.761859,31.6116,0.7111,0.043246,0.777941,0.178812,256000,120389386,3992,60579,12,43,12,43,,
25000,85.315,81.758,6.615004,6.449585,0.165419,6.533081,6.547974,0.06703,510.7162,0.269039,0.782804,52.2099,2.5778,0.048059,0.761602,0.19034,256000,130743355,3921,60849,8,43,8,43,,
25250,86.078,82.474,6.647608,6.474731,0.172877,6.552734,6.570312,0.077296,558.7739,0.260824,0.800876,45.7071,3.2769,0.053305,0.758781,0.187914,256000,143046110,3976,60842,9,44,9,44,,
25500,86.857,83.219,6.654702,6.496338,0.158365,6.576172,6.593506,0.061197,570.2396,0.282074,0.80521,46.3347,3.5133,0.054719,0.758418,0.186863,256000,145981338,3980,61106,7,44,7,44,,
25750,87.596,83.925,6.645188,6.499146,0.146042,6.574219,6.603638,0.04155,540.4089,0.285039,0.795601,54.0072,3.966,0.051582,0.754914,0.193504,256000,138344683,3812,61379,7,44,7,44,,
26000,88.338,84.634,6.613269,6.432007,0.181262,6.528198,6.533936,0.079333,536.8305,0.294477,0.791011,72.6084,9.7243,0.051199,0.77868,0.170121,256000,137428598,3981,61193,8,44,8,44,,
26250,89.023,85.284,6.582771,6.417114,0.165657,6.502808,6.516113,0.066658,457.2563,0.281027,0.754081,57.1981,2.2008,0.041004,0.783727,0.17527,256000,117057616,4018,61022,10,44,10,44,,
26500,89.711,85.938,6.585536,6.401611,0.183925,6.477539,6.499878,0.085658,468.7782,0.285363,0.761181,62.2963,2.0358,0.042578,0.775496,0.181926,256000,120007212,3991,60592,10,44,10,44,,
26750,90.456,86.649,6.557437,6.366211,0.191227,6.452148,6.468872,0.088565,507.2506,0.306262,0.779794,83.1726,1.496,0.04725,0.774352,0.178398,256000,129856162,3894,60246,10,44,10,44,,
