# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       651  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       426  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       339  8888888888888888  38383838383838383838383838383838
       336  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       273  9999999999999999  39393939393939393939393939393939
# epoch 3000  H=7.6676 C=7.2525 HO=0.3418  A(t)=346
      1573  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       868  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       857  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       659  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       503  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       489  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       379  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       342  8888888888888888  38383838383838383838383838383838
       324  9999999999999999  39393939393939393939393939393939
       265  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 3250  H=7.6524 C=7.2935 HO=0.2888  A(t)=354
      1033  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       730  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       686  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       683  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       550  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       475  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       260  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       219  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       218  9999999999999999  39393939393939393939393939393939
       206  4444444444444444  34343434343434343434343434343434
# epoch 3500  H=7.6453 C=7.3189 HO=0.2551  A(t)=358
       817  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       649  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       556  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       532  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       516  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       411  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       381  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       195  9999999999999999  39393939393939393939393939393939
       180  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       176  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
# epoch 3750  H=7.6383 C=7.3444 HO=0.2252  A(t)=358
       748  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       559  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       527  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       488  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       447  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       385  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       338  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       230  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       204  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       184  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
# epoch 4000  H=7.6248 C=7.3416 HO=0.2163  A(t)=358
       720  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       654  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       633  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       603  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       477  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       477  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       381  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       326  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       241  9999999999999999  39393939393939393939393939393939
       195  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 4250  H=7.6153 C=7.3339 HO=0.2169  A(t)=358
      1086  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       832  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       546  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       539  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       433  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       411  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       340  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
