# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       170  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       137  ................  ffffffffffffffffffffffffffffffff
       124  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       111  ................  80808080808080808080808080808080
       104  ................  8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a
        99  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 3250  H=7.8203 C=7.6367 HO=0.1177  A(t)=301
       706  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       354  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       295  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       189  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       118  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       114  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       104  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       104  ................  04040404040404040404040404040404
       102  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
        98  4444444444444444  34343434343434343434343434343434
# epoch 3500  H=7.8163 C=7.6195 HO=0.1330  A(t)=302
       710  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       489  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       362  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       203  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       202  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       187  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       160  gggggggggggggggg  67676767676767676767676767676767
       128  ''''''''''''''''  27272727272727272727272727272727
       112  ................  01010101010101010101010101010101
        93  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 3750  H=7.8058 C=7.6017 HO=0.1384  A(t)=302
       727  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       599  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       503  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       277  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       148  ................  ffffffffffffffffffffffffffffffff
       131  ................  01010101010101010101010101010101
       111  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
       106  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
       103  1111111111111111  31313131313131313131313131313131
       101  5555555555555555  35353535353535353535353535353535
# epoch 4000  H=7.8008 C=7.5917 HO=0.1455  A(t)=302
       684  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       545  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       376  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       233  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       153  ................  01010101010101010101010101010101
       134  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       108  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        97  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        92  ................  09090909090909090909090909090909
        90  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
# epoch 4250  H=6.7100 C=3.4846 HO=4.0443  A(t)=302
     11366  ..{..J....[^..J0  7fbb7b80804a9080e1175b5ee1de4a30
     11301  ....{..J....[^..  05ef7fbb7b80804a9080e1175b5ee1de
     11257  {..J....[^..J0-,  7b80804a9080e1175b5ee1de4a302d2c
     11233  ...{..J....[^..J  ef7fbb7b80804a9080e1175b5ee1de4a
     11154  J....{..J....[^.  4a05ef7fbb7b80804a9080e1175b5ee1
     10990  pcJ....{..J....[  70634a05ef7fbb7b80804a9080e1175b
     10947  .{..J....[^..J0-  bb7b80804a9080e1175b5ee1de4a302d
     10936  cJ....{..J....[^  634a05ef7fbb7b80804a9080e1175b5e
     10824  -pcJ....{..J....  2d70634a05ef7fbb7b80804a9080e117
