# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        25  0000000000000000  30303030303030303030303030303030
# epoch 440  H=7.9827 C=7.6565 HO=0.2806  A(t)=29
        87  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        82  ................  01010101010101010101010101010101
        34  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        28  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        25  0000000000000000  30303030303030303030303030303030
# epoch 460  H=7.9825 C=7.6583 HO=0.2729  A(t)=29
        87  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        82  ................  01010101010101010101010101010101
        43  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
        33  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        24  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
# epoch 480  H=7.9823 C=7.6631 HO=0.2581  A(t)=29
        83  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        60  ................  01010101010101010101010101010101
        43  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
        33  ................  fefefefefefefefefefefefefefefefe
        33  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        28  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
# epoch 500  H=7.9818 C=7.6589 HO=0.2710  A(t)=33
        72  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        60  ................  01010101010101010101010101010101
        41  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
        33  ................  fefefefefefefefefefefefefefefefe
        33  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
