# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       343  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       268  cccccccccccccccc  63636363636363636363636363636363
# epoch 2750  H=7.7388 C=7.2811 HO=0.3820  A(t)=323
      1725  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1371  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       922  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       845  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       816  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       786  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       462  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       312  ................  ffffffffffffffffffffffffffffffff
       302  9999999999999999  39393939393939393939393939393939
       292  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 3000  H=7.7188 C=7.2769 HO=0.3657  A(t)=329
      1672  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
      1494  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1366  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       759  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       643  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       614  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       556  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       318  9999999999999999  39393939393939393939393939393939
       304  8888888888888888  38383838383838383838383838383838
       300  ................  ffffffffffffffffffffffffffffffff
# epoch 3250  H=7.6966 C=7.2671 HO=0.3515  A(t)=330
      2435  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
      1648  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1277  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       924  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       616  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       602  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       385  9999999999999999  39393939393939393939393939393939
       358  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       265  0000000000000000  30303030303030303030303030303030
       231  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 3500  H=7.6728 C=7.2681 HO=0.3293  A(t)=334
