# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
       163  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       159  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       151  ................  ffffffffffffffffffffffffffffffff
       147  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
       145  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
# epoch 240  H=7.9940 C=7.6779 HO=0.3161  A(t)=203
       422  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       219  ................  07070707070707070707070707070707
       215  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       208  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       189  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       180  ................  ffffffffffffffffffffffffffffffff
       170  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       162  ................  fefefefefefefefefefefefefefefefe
       162  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       161  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 260  H=7.9931 C=7.6638 HO=0.3294  A(t)=212
       730  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       262  ................  07070707070707070707070707070707
       236  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       219  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       203  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       160  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       157  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       156  ................  98989898989898989898989898989898
       152  ................  fefefefefefefefefefefefefefefefe
       148  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
# epoch 280  H=7.9909 C=7.6389 HO=0.3521  A(t)=218
      1149  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       305  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       299  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       233  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       230  ................  07070707070707070707070707070707
       222  ................  fefefefefefefefefefefefefefefefe
       214  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       211  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       203  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       180  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 300  H=7.9895 C=7.6216 HO=0.3679  A(t)=228
      1341  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       337  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       302  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       243  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       231  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       223  ................  07070707070707070707070707070707
       222  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
       217  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       200  ................  fefefefefefefefefefefefefefefefe
       182  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
# epoch 320  H=7.9888 C=7.6118 HO=0.3771  A(t)=231
      1154  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       319  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       287  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       279  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       238  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       220  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
       214  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       204  ................  07070707070707070707070707070707
       203  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       194  ................  fefefefefefefefefefefefefefefefe
# epoch 340  H=7.9883 C=7.6124 HO=0.3759  A(t)=233
      1042  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       304  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       286  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       267  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       219  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       201  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
       185  ................  fefefefefefefefefefefefefefefefe
       185  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       172  ................  07070707070707070707070707070707
       168  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 360  H=7.9874 C=7.6035 HO=0.3839  A(t)=234
       932  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       298  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       266  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       257  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       253  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       238  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       221  ................  06060606060606060606060606060606
       170  ................  fefefefefefefefefefefefefefefefe
       168  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
       164  ................  07070707070707070707070707070707
# epoch 380  H=7.9868 C=7.5999 HO=0.3868  A(t)=238
       896  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       267  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       266  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       258  ................  06060606060606060606060606060606
       252  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       242  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       198  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       179  ................  01010101010101010101010101010101
       162  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
       155  ................  fafafafafafafafafafafafafafafafa
