epoch,family,coverage,count,top_count,size,rep_hex,rep_printable,is_leader
20500,63,0.026306,3415,474,8,3fffff543f81524f6157160fce84be31,?..T?.ROaW.....1,0
20500,71,0.025604,3685,431,9,1831193e8b5832967ddb2c5d26ae4046,".1.>.X2.}.,]&.@F",0
20500,72,0.022339,9232,597,18,ff264c373e6ffa87197d2c5d9dacca20,".&L7>o...},]..._",0
21000,63,0.041656,4421,724,7,ffff543f81524fcc57160fce84be315b,..T?.RO.W.....1[,0
21000,69,0.038696,6389,905,11,57160fce84be315b0a275a926db76472,W.....1[.'Z.m.dr,0
21000,73,0.034851,3074,646,6,fafa18d6323e54d532997deb2c5d2e36,"....2>T.2.}.,].6",0
21000,59,0.031036,7269,698,13,04141ae37e573e018064377d3f2c5dc8,"....~W>..d7}?,].",0
21000,74,0.031036,12910,567,25,3273d84aa2cd5f5b24b7ab68b13ef4f2,2s.J.._[$..h.>..,0
21000,75,0.030853,5860,544,13,5b0c796b6cf13ead0a89907d2c3a0c67,"[.ykl.>....},:.g",0
21500,72,0.034882,6113,603,12,2a4c373e184887197d2c5d9dacb3206d,"*L7>.H..},]..._m",0
21500,76,0.033295,7143,646,15,5b90112032e73e4a884fed7d2c5d3e43,"[.._2.>J.O.},]>C",0
21500,77,0.032288,9630,563,18,d34d014d6b5b9011a45b0af2e83ddb86,.M.Mk[...[...=..,0
21500,78,0.03186,5718,1029,8,7d322c5d8dac74fe79dfcf585e564e01,"}2,]..t.y..X^VN.",0
21500,79,0.029877,5225,539,11,81524f61c4160fce68be315bc0275a92,.ROa....h.1[.'Z.,0
21500,80,0.024597,4180,587,8,a5012019cc977af5727354814bad84a4,.._...z.rsT.K...,0
22000,81,0.045013,7562,801,14,c2a2e1b53a3ee6c69bed7d322c5d8dac,"....:>....}2,]..",0
22000,56,0.036163,11715,637,22,7a375bd0e53b1c0a3e036efb4d7d2c5d,"z7[..;..>.n.M},]",0
22000,82,0.035919,11660,684,24,97ad6ebb68c3770d821b13aefc56e75b,..n.h.w......V.[,0
22000,83,0.030212,6268,592,12,0d80e8c7a27a375bd0e53b1c0a3e036e,.....z7[..;..>.n,0
22000,84,0.029663,4681,565,9,e3b11c3e7549649c7d0b2c9ec820d85d,"...>uId.}.,.._.]",0
22000,85,0.027893,1756,487,4,79dfcf585e564e01e162875df728014d,y..X^VN..b.].(.M,0
22500,86,0.046417,14579,822,23,f40bc2a2b8f11e3e14c69b937d3f2c5d,".......>....}?,]",0
22500,87,0.034058,13044,928,18,436c97ada29668c3150d82ee7940fc56,Cl....h.....y@.V,0
22500,88,0.028534,6628,865,11,7af0049243e3cf573e0149cb5f7d0b2c,"z...C..W>.I._}.,",0
22500,89,0.028259,10667,795,18,4887197d2c5d9dacb3206d6f2cdd5e34,"H..},]..._mo,.^4",0
22500,59,0.025238,1218,413,3,269334863ea1ae64377d9b2c5dc8a330,"&.4.>..d7}.,]..0",0
22500,64,0.024689,7661,639,13,f24767ba99735bc9ca0805453adc0492,.Gg..s[....E:...,0
23000,90,0.033936,7926,752,16,64377ded2c5dc820d85d09facf975864,"d7}.,]._.]....Xd",0
23000,91,0.033539,4050,623,7,5c3ead0a89907d2c6c0c673596df94e5,"\>....},l.g5....",0
23000,76,0.029205,9813,727,17,1d6b5b2f112032253e4a884fed7d2c5d,".k[/._2%>J.O.},]",0
23000,79,0.029022,3185,524,7,81524161c416dffe68e0385bc0275a92,.RAa....h.8[.'Z.,0
23000,92,0.026489,1714,443,4,74a2d4893267a7d3ec5ba0a7ab941565,t...2g...[.....e,0
23000,93,0.026398,4273,809,7,185bccc0c272a5012019a5977af564bb,.[...r.._...z.d.,0
23500,75,0.056976,10391,996,16,f65b0c790e6c743eca1889907d2c6c0c,".[.y.lt>....},l.",0
23500,94,0.048492,8530,654,17,a218ac5bd0143b9dc23ed16efb4d7d2c,"...[..;..>.n.M},",0
