# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       367  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       148  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       144  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       130  3333333333333333  33333333333333333333333333333333
       126  ................  01010101010101010101010101010101
       104  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        95  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        87  """"""""""""""""  22222222222222222222222222222222
# epoch 3250  H=7.8140 C=7.5990 HO=0.1442  A(t)=297
       662  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       637  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       603  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       251  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       162  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       158  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       133  ................  01010101010101010101010101010101
       126  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       103  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        98  ................  07070707070707070707070707070707
# epoch 3500  H=7.8106 C=7.5988 HO=0.1428  A(t)=299
       618  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       401  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       359  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       205  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       205  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       133  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       128  ................  02020202020202020202020202020202
       124  ................  01010101010101010101010101010101
       121  ................  ffffffffffffffffffffffffffffffff
        95  ................  00000000000000000000000000000000
# epoch 3750  H=7.8082 C=7.5946 HO=0.1427  A(t)=302
       574  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       440  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       395  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       193  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       127  ................  01010101010101010101010101010101
       120  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       118  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        98  5555555555555555  35353535353535353535353535353535
