# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       101  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       101  ))))))))))))))))  29292929292929292929292929292929
# epoch 3750  H=7.8101 C=7.6167 HO=0.1254  A(t)=300
       548  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       497  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       323  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       192  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       144  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       117  ................  00000000000000000000000000000000
       109  ))))))))))))))))  29292929292929292929292929292929
       106  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        98  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
        98  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
# epoch 4000  H=7.8040 C=7.6124 HO=0.1276  A(t)=301
       595  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       374  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       301  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       261  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       191  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       176  ................  01010101010101010101010101010101
       174  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       160  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       152  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       127  ................  0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f
# epoch 4250  H=7.7984 C=7.6019 HO=0.1335  A(t)=302
       484  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       375  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
