# epoch 0  H=7.9996 C=8.0025 HO=-0.0030  A(t)=0
       174  ................  02020202020202020202020202020202
       159  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       146  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       144  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
# epoch 260  H=7.9936 C=7.6333 HO=0.3604  A(t)=231
       306  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       255  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       211  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       209  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       193  4444444444444444  34343434343434343434343434343434
       188  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       165  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       158  ................  02020202020202020202020202020202
       147  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       129  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
# epoch 280  H=7.9930 C=7.6212 HO=0.3718  A(t)=233
       277  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       253  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       210  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       201  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       183  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       164  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       163  4444444444444444  34343434343434343434343434343434
       158  ................  01010101010101010101010101010101
       153  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
       149  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
