# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       170  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       116  5555555555555555  35353535353535353535353535353535
       114  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       112  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       108  ................  01010101010101010101010101010101
       104  ................  93939393939393939393939393939393
# epoch 3750  H=7.8072 C=7.5924 HO=0.1487  A(t)=309
       696  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       658  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       444  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       176  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       145  4444444444444444  34343434343434343434343434343434
       145  ................  02020202020202020202020202020202
       106  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       105  ................  ffffffffffffffffffffffffffffffff
       101  cccccccccccccccc  63636363636363636363636363636363
        97  ................  efefefefefefefefefefefefefefefef
# epoch 4000  H=7.7974 C=7.5804 HO=0.1453  A(t)=311
       617  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       572  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       245  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       224  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       212  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       155  ................  ffffffffffffffffffffffffffffffff
       153  ................  02020202020202020202020202020202
       115  ................  01010101010101010101010101010101
       106  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
       105  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 4250  H=7.7975 C=7.5855 HO=0.1407  A(t)=311
       462  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       448  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       422  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       277  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       167  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       141  ................  ffffffffffffffffffffffffffffffff
       139  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       108  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
       107  ................  01010101010101010101010101010101
       104  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 4500  H=7.7929 C=7.5853 HO=0.1411  A(t)=311
       697  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       640  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       601  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       305  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       180  ................  02020202020202020202020202020202
       116  ................  ffffffffffffffffffffffffffffffff
       111  ................  fefefefefefefefefefefefefefefefe
       107  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       100  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
        99  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
# epoch 4750  H=7.7858 C=7.5641 HO=0.1526  A(t)=311
       786  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       628  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       324  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       195  ................  ffffffffffffffffffffffffffffffff
       194  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       193  ................  01010101010101010101010101010101
       189  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       151  ................  02020202020202020202020202020202
       142  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       133  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 5000  H=7.7824 C=7.5588 HO=0.1550  A(t)=311
       690  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       539  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       509  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       232  ................  01010101010101010101010101010101
       224  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       153  ................  ffffffffffffffffffffffffffffffff
       137  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       127  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       126  ................  05050505050505050505050505050505
       121  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 5250  H=7.7751 C=7.5517 HO=0.1563  A(t)=311
       531  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       515  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       416  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       244  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       211  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       187  ................  01010101010101010101010101010101
       155  ................  ffffffffffffffffffffffffffffffff
       141  ................  02020202020202020202020202020202
       121  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       114  ................  e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
# epoch 5500  H=7.7774 C=7.5519 HO=0.1566  A(t)=311
       791  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       544  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       530  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       168  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       132  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       132  ''''''''''''''''  27272727272727272727272727272727
       130  SSSSSSSSSSSSSSSS  53535353535353535353535353535353
       115  ................  84848484848484848484848484848484
       111  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
       107  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 5750  H=7.7724 C=7.5426 HO=0.1607  A(t)=313
       866  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       558  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       465  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       265  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       224  ................  01010101010101010101010101010101
       156  ................  ffffffffffffffffffffffffffffffff
       150  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       132  5555555555555555  35353535353535353535353535353535
       126  TTTTTTTTTTTTTTTT  54545454545454545454545454545454
       126  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 6000  H=7.7691 C=7.5513 HO=0.1517  A(t)=315
       638  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       453  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       355  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       233  ................  01010101010101010101010101010101
       175  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       126  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
