# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
       253  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
       230  ................  85858585858585858585858585858585
       204  ................  ffffffffffffffffffffffffffffffff
       199  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       183  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 320  H=7.9908 C=7.5488 HO=0.4420  A(t)=229
       399  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       318  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       255  ................  01010101010101010101010101010101
       247  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
       246  ................  ebebebebebebebebebebebebebebebeb
       238  ................  97979797979797979797979797979797
       192  ................  85858585858585858585858585858585
       183  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       166  ................  ffffffffffffffffffffffffffffffff
       158  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
# epoch 340  H=7.9901 C=7.5380 HO=0.4520  A(t)=231
       411  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       305  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       249  ................  01010101010101010101010101010101
       242  ................  ebebebebebebebebebebebebebebebeb
       229  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
       204  ................  97979797979797979797979797979797
       186  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       185  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       184  ................  85858585858585858585858585858585
       166  ................  ffffffffffffffffffffffffffffffff
# epoch 360  H=7.9892 C=7.5289 HO=0.4603  A(t)=238
       442  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       264  pppppppppppppppp  70707070707070707070707070707070
       245  ................  01010101010101010101010101010101
       232  ................  ffffffffffffffffffffffffffffffff
       227  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       218  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
