# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       167  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       116  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       101  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        99  ))))))))))))))))  29292929292929292929292929292929
        89  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        86  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        86  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
# epoch 3250  H=7.8141 C=7.6085 HO=0.1394  A(t)=300
       643  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       638  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       513  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       149  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       143  ````````````````  60606060606060606060606060606060
       113  ................  12121212121212121212121212121212
       109  1111111111111111  31313131313131313131313131313131
        93  2222222222222222  32323232323232323232323232323232
        92  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        90  ................  01010101010101010101010101010101
# epoch 3500  H=7.8109 C=7.6071 HO=0.1385  A(t)=300
       702  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       587  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       279  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       111  ................  08080808080808080808080808080808
       108  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       104  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       103  ................  01010101010101010101010101010101
       102  ................  ffffffffffffffffffffffffffffffff
       100  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        94  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 3750  H=7.8096 C=7.6028 HO=0.1420  A(t)=300
       997  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       872  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       343  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       324  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       146  ................  01010101010101010101010101010101
       119  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
       102  0000000000000000  30303030303030303030303030303030
        99  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        93  ................  ebebebebebebebebebebebebebebebeb
        87  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 4000  H=7.7996 C=7.5846 HO=0.1463  A(t)=303
       887  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       398  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       336  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       274  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       221  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       204  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       127  ................  02020202020202020202020202020202
       104  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
       103  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
        95  ................  b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7
# epoch 4250  H=7.7931 C=7.5787 HO=0.1493  A(t)=303
       600  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       441  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       382  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       147  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       141  ................  01010101010101010101010101010101
       131  5555555555555555  35353535353535353535353535353535
       128  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       121  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
       118  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        97  ................  0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d
# epoch 4500  H=7.7912 C=7.5719 HO=0.1525  A(t)=305
       687  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       445  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       411  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       221  ................  01010101010101010101010101010101
       154  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       144  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       144  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       135  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       132  8888888888888888  38383838383838383838383838383838
        96  ................  ecececececececececececececececec
# epoch 4750  H=7.7906 C=7.5735 HO=0.1495  A(t)=306
       686  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       640  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       484  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       272  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       157  ))))))))))))))))  29292929292929292929292929292929
       138  ................  08080808080808080808080808080808
       123  ................  01010101010101010101010101010101
       120  ................  85858585858585858585858585858585
       111  2222222222222222  32323232323232323232323232323232
