# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
         7  ................  01010101010101010101010101010102
         5  .............,..  010101010101010101010101012c0101
         5  ................  01010101010101010101010101010202
         5  ................  01010101010101010101010100010101
         5  ................  01010101010101010101010001010101
# epoch 5750  H=6.8696 C=6.7075 HO=0.3215  A(t)=13
      1432  ................  01010101010101010101010101010101
       474  ................  00000000000000000000000000000000
        27  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
        11  ...............,  0101010101010101010101010101012c
         9  ................  01010101010101010101010101010102
         7  ..............,.  01010101010101010101010101012c01
         7  ................  01010101010101010101010101010202
         7  ................  01010101010101010101000101010101
         6  ................  01010101010101010100010101010101
         6  ................  01010101010101010001010101010101
# epoch 6000  H=6.8750 C=6.6888 HO=0.3549  A(t)=13
      1602  ................  01010101010101010101010101010101
       442  ................  00000000000000000000000000000000
       125  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        39  ssssssssssssssss  73737373737373737373737373737373
        13  ...............,  0101010101010101010101010101012c
         9  ................  02010101010101010101010101010101
         8  ................  01010101010101010101010101010102
         7  ..............,.  01010101010101010101010101012c01
         7  ................  01010101010101010101010101010202
         5  ................  01010102010101010101010101010101
# epoch 6250  H=6.8738 C=6.7041 HO=0.3164  A(t)=13
      1604  ................  01010101010101010101010101010101
       497  ................  00000000000000000000000000000000
        17  ...............,  0101010101010101010101010101012c
         8  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
         8  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
         8  ................  01010101010101010101010101010102
         7  ................  02010101010101010101010101010101
         7  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101010101010101010202
         5  ................  02020101010101010101010101010101
# epoch 6500  H=6.8660 C=6.7107 HO=0.3151  A(t)=13
      1856  ................  01010101010101010101010101010101
       301  ................  00000000000000000000000000000000
        19  ...............,  0101010101010101010101010101012c
        12  ................  01010101010101010101010101010102
        11  ..............,.  01010101010101010101010101012c01
         8  ................  01010101010101010101010101010202
         7  ................  02010101010101010101010101010101
         6  ````````````````  60606060606060606060606060606060
         6  .............,..  010101010101010101010101012c0101
         5  ................  01020201010101010101010101010101
