# epoch 0  H=7.9971 C=8.0032 HO=-0.0061  A(t)=0
        35  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        34  ................  bebebebebebebebebebebebebebebebe
        34  ................  12121212121212121212121212121212
# epoch 740  H=7.9273 C=7.3242 HO=0.6030  A(t)=109
       171  ................  c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
       164  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       143  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        58  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        52  pppppppppppppppp  70707070707070707070707070707070
        52  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        48  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        42  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        35  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
        34  ................  bebebebebebebebebebebebebebebebe
