epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
1880,5.024,2.34,7.85063,7.437988,0.412641,500.6728,0.534082,0.049414,0.646094,0.304492,10240,5126889,305,56470,38,167
1900,5.059,2.356,7.846903,7.441406,0.405496,495.5355,0.529492,0.048438,0.642676,0.308887,10240,5074284,304,56500,38,169
1920,5.094,2.373,7.848706,7.4375,0.411206,502.2,0.529199,0.049414,0.650488,0.300098,10240,5142528,352,56461,34,169
1940,5.129,2.389,7.848081,7.429932,0.418149,512.2767,0.525977,0.050195,0.652148,0.297656,10240,5245713,329,56406,34,170
1960,5.201,2.422,7.849212,7.439331,0.409881,515.6729,0.522168,0.050293,0.657617,0.29209,10240,5280490,335,56491,34,171
1980,5.265,2.455,7.844738,7.427124,0.417614,526.7771,0.53252,0.052148,0.654004,0.293848,10240,5394198,313,56355,32,171
2000,5.301,2.472,7.848322,7.433105,0.415217,522.9203,0.542578,0.052051,0.653027,0.294922,10240,5354704,328,56359,34,174
2020,5.338,2.489,7.844281,7.42041,0.42387,543.086,0.546289,0.054297,0.655664,0.290039,10240,5561201,309,56302,34,175
2040,5.373,2.506,7.845979,7.437622,0.408357,552.4746,0.539746,0.055664,0.650391,0.293945,10240,5657340,332,56406,33,175
2060,5.409,2.523,7.845323,7.443237,0.402086,535.746,0.536426,0.053516,0.64873,0.297754,10240,5486039,324,56463,33,175
2080,5.445,2.54,7.844244,7.448853,0.395392,531.5114,0.526953,0.053125,0.650781,0.296094,10240,5442677,290,56535,33,176
2100,5.518,2.572,7.841776,7.435059,0.406717,527.0043,0.529297,0.052637,0.646289,0.301074,10240,5396524,340,56432,33,177
2120,5.59,2.605,7.841184,7.417969,0.423215,513.6206,0.533301,0.050879,0.649609,0.299512,10240,5259475,314,56333,32,177
2140,5.661,2.638,7.840447,7.415039,0.425408,530.8534,0.526855,0.053027,0.644141,0.302832,10240,5435939,317,56319,33,177
2160,5.735,2.673,7.833469,7.414917,0.418552,532.3418,0.528125,0.053223,0.643848,0.30293,10240,5451180,308,56365,33,177
2180,5.807,2.706,7.829401,7.424927,0.404474,520.3628,0.525977,0.051465,0.651367,0.297168,10240,5328515,334,56483,34,177
2200,5.884,2.739,7.82615,7.39978,0.42637,540.5014,0.527539,0.054102,0.652148,0.29375,10240,5534734,313,56353,38,179
2220,5.956,2.776,7.825298,7.39856,0.426738,529.6953,0.524902,0.053027,0.652637,0.294336,10240,5424080,283,56430,38,180
2240,6.027,2.809,7.828921,7.409302,0.419619,509.4801,0.536426,0.050586,0.64541,0.304004,10240,5217076,326,56447,38,180
2260,6.099,2.841,7.831524,7.405762,0.425762,528.197,0.531934,0.052637,0.640332,0.307031,10240,5408737,320,56432,38,180
2280,6.171,2.874,7.828523,7.409424,0.419099,507.4553,0.528906,0.050391,0.631543,0.318066,10240,5196342,318,56496,40,182
2300,6.242,2.906,7.827231,7.396973,0.430258,509.1085,0.521387,0.050391,0.639941,0.309668,10240,5213271,295,56427,38,182
2320,6.314,2.939,7.827899,7.410034,0.417865,508.658,0.520508,0.050586,0.641602,0.307812,10240,5208658,306,56519,37,182
2340,6.381,2.971,7.828744,7.414673,0.414071,506.3353,0.536328,0.050195,0.6375,0.312305,10240,5184873,336,56579,40,185
2360,6.452,3.003,7.828195,7.408447,0.419748,478.3058,0.530859,0.046582,0.64082,0.312598,10240,4897851,316,56593,39,186
2380,6.529,3.04,7.823883,7.381226,0.442657,509.3592,0.525684,0.050195,0.645312,0.304492,10240,5215838,328,56427,42,188
2400,6.604,3.074,7.822267,7.371826,0.450441,505.3698,0.535254,0.049512,0.647656,0.302832,10240,5174987,307,56366,43,188
