# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       550  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       422  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       366  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       147  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       143  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       109  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
        96  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        92  ................  01010101010101010101010101010101
        91  ................  97979797979797979797979797979797
        83  ................  ffffffffffffffffffffffffffffffff
# epoch 3250  H=7.8221 C=7.6128 HO=0.1423  A(t)=297
       582  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       569  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       562  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       199  ................  01010101010101010101010101010101
       188  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       173  ................  ffffffffffffffffffffffffffffffff
       129  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       106  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        94  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        89  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
# epoch 3500  H=7.8091 C=7.6061 HO=0.1330  A(t)=304
       476  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       441  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       381  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       233  ................  01010101010101010101010101010101
       153  ................  82828282828282828282828282828282
       132  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       117  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       114  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       107  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        99  ................  ffffffffffffffffffffffffffffffff
# epoch 3750  H=7.8008 C=7.5882 HO=0.1443  A(t)=304
       575  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       520  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       340  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       304  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       236  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       121  ................  04040404040404040404040404040404
       120  ................  d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6
       119  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       104  ................  ffffffffffffffffffffffffffffffff
       102  ................  fefefefefefefefefefefefefefefefe
# epoch 4000  H=7.7953 C=7.5767 HO=0.1523  A(t)=305
       769  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       565  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       451  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       306  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       238  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       115  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       113  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       111  ................  01010101010101010101010101010101
       108  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       103  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 4250  H=7.7906 C=7.5676 HO=0.1563  A(t)=306
       460  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       452  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       321  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       186  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       168  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       165  ................  01010101010101010101010101010101
       161  tttttttttttttttt  74747474747474747474747474747474
       134  ................  10101010101010101010101010101010
       121  4444444444444444  34343434343434343434343434343434
       103  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
# epoch 4500  H=7.7882 C=7.5729 HO=0.1480  A(t)=308
       512  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       455  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       338  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       177  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       157  2222222222222222  32323232323232323232323232323232
       152  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       146  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
       143  ................  01010101010101010101010101010101
       131  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
       124  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
# epoch 4750  H=7.7828 C=7.5632 HO=0.1533  A(t)=308
       769  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       706  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       592  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       204  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       186  ................  01010101010101010101010101010101
       155  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       134  ................  fefefefefefefefefefefefefefefefe
       132  ))))))))))))))))  29292929292929292929292929292929
       128  ................  87878787878787878787878787878787
       110  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 5000  H=7.7852 C=7.5752 HO=0.1480  A(t)=308
       989  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       507  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       463  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       199  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       178  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       160  ................  01010101010101010101010101010101
       132  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       127  ................  dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf
       124  ................  ffffffffffffffffffffffffffffffff
       119  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 5250  H=7.7808 C=7.5703 HO=0.1447  A(t)=309
       793  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       534  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       355  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       196  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       146  ))))))))))))))))  29292929292929292929292929292929
       133  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       125  ................  01010101010101010101010101010101
       110  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        96  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        93  ................  ffffffffffffffffffffffffffffffff
# epoch 5500  H=7.7821 C=7.5737 HO=0.1450  A(t)=309
       674  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       593  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       576  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       122  ................  cececececececececececececececece
       105  ................  81818181818181818181818181818181
       102  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       102  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        98  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        96  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        94  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 5750  H=7.7755 C=7.5627 HO=0.1475  A(t)=310
       588  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       585  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
