# epoch 0  H=7.9971 C=8.0032 HO=-0.0060  A(t)=0
         6  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
         6  ................  0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f
# epoch 500  H=7.9278 C=7.3011 HO=0.6266  A(t)=13
        86  ________________  20202020202020202020202020202020
        83  ssssssssssssssss  73737373737373737373737373737373
        58  ................  88888888888888888888888888888888
        58  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        53  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        46  ................  00000000000000000000000000000000
        26  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        20  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        19  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        12  9999999999999999  39393939393939393939393939393939
# epoch 550  H=7.9104 C=7.2639 HO=0.6465  A(t)=14
        86  ________________  20202020202020202020202020202020
        57  ................  88888888888888888888888888888888
        55  ssssssssssssssss  73737373737373737373737373737373
        55  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        53  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        38  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        37  ................  00000000000000000000000000000000
        19  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        15  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        14  ................  87878787878787878787878787878787
# epoch 600  H=7.8971 C=7.2134 HO=0.6837  A(t)=14
        56  ................  88888888888888888888888888888888
        55  ssssssssssssssss  73737373737373737373737373737373
        53  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        51  ________________  20202020202020202020202020202020
        39  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        30  ................  00000000000000000000000000000000
        19  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        16  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        14  ................  87878787878787878787878787878787
        13  ................  edededededededededededededededed
# epoch 650  H=7.8781 C=7.1543 HO=0.7238  A(t)=17
       249  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        51  ................  88888888888888888888888888888888
        51  ________________  20202020202020202020202020202020
        48  ssssssssssssssss  73737373737373737373737373737373
        45  ................  00000000000000000000000000000000
        36  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        22  ................  edededededededededededededededed
        19  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        15  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        14  ................  87878787878787878787878787878787
# epoch 700  H=7.8626 C=7.1146 HO=0.7480  A(t)=21
       147  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  ................  00000000000000000000000000000000
        43  ssssssssssssssss  73737373737373737373737373737373
        42  ________________  20202020202020202020202020202020
        36  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        19  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        15  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        14  ................  87878787878787878787878787878787
        12  ................  88888888888888888888888888888888
        12  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
# epoch 750  H=7.8478 C=7.0845 HO=0.7634  A(t)=22
       236  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        68  ________________  20202020202020202020202020202020
        54  ................  00000000000000000000000000000000
        43  ssssssssssssssss  73737373737373737373737373737373
        39  ................  88888888888888888888888888888888
