# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       110  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       108  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
       101  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        99  ................  01010101010101010101010101010101
        94  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
        92  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
# epoch 2500  H=7.8424 C=7.6449 HO=0.1282  A(t)=286
       318  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       310  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       216  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       205  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       180  ................  82828282828282828282828282828282
       171  ................  01010101010101010101010101010101
       160  ................  fefefefefefefefefefefefefefefefe
       102  0000000000000000  30303030303030303030303030303030
        97  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        95  ................  06060606060606060606060606060606
# epoch 2750  H=7.8336 C=7.6262 HO=0.1397  A(t)=290
       513  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       512  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       325  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       177  ................  02020202020202020202020202020202
       140  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       127  ................  10101010101010101010101010101010
       115  ................  01010101010101010101010101010101
       110  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       106  ................  ffffffffffffffffffffffffffffffff
        96  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
# epoch 3000  H=7.8229 C=7.6073 HO=0.1467  A(t)=292
       521  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       514  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       487  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       339  ................  ffffffffffffffffffffffffffffffff
       299  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       117  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       116  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       111  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       108  cccccccccccccccc  63636363636363636363636363636363
       104  ................  04040404040404040404040404040404
# epoch 3250  H=7.8120 C=7.6127 HO=0.1324  A(t)=296
       464  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       462  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       172  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       156  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       154  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       113  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
       108  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
       104  ))))))))))))))))  29292929292929292929292929292929
