# epoch 0  H=7.9973 C=8.0032 HO=-0.0059  A(t)=0
        57  ................  04040404040404040404040404040404
        37  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        37  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        35  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        31  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        21  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        18  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        13  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
        12  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
# epoch 650  H=7.7474 C=6.9147 HO=0.8327  A(t)=31
       362  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        74  ................  04040404040404040404040404040404
        69  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        32  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        31  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        21  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        18  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        17  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        16  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        16  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
# epoch 700  H=7.6763 C=6.7729 HO=0.9034  A(t)=32
       849  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        83  ................  04040404040404040404040404040404
        72  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        32  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
