epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
2250,24.392,21.006,4.801535,3.93103,0.870505,4.193726,3.950928,0.850607,692.7823,0.658867,0.830535,148.973,0.070859,0.822148,0.106992,51200,35470456,776,38386,129,217,141,224
2300,24.815,21.331,4.644327,3.797607,0.846719,4.06958,3.817871,0.826456,647.7244,0.676738,0.817446,152.4759,0.065234,0.833984,0.100781,51200,33163489,782,37062,129,227,151,235
2350,25.233,21.641,4.483336,3.671387,0.81195,3.943237,3.693848,0.789489,614.7534,0.682363,0.807356,157.2369,0.060879,0.840215,0.098906,51200,31475372,771,35881,144,242,169,253
2400,25.662,21.967,4.363508,3.537598,0.82591,3.793823,3.556274,0.807234,617.292,0.701328,0.807056,161.8227,0.061328,0.847988,0.090684,51200,31605348,745,34131,164,260,196,275
2450,26.102,22.292,4.12107,3.342896,0.778175,3.623413,3.391479,0.729591,607.3692,0.713633,0.802285,165.8919,0.060039,0.862168,0.077793,51200,31097301,764,32414,171,266,212,286
2500,26.517,22.597,3.956459,3.190186,0.766274,3.436157,3.221191,0.735268,568.4265,0.732344,0.788016,166.1468,0.055195,0.87127,0.073535,51200,29103435,764,30444,165,286,234,310
2550,26.909,22.887,3.758709,3.043335,0.715374,3.262695,3.056641,0.702068,557.6562,0.731973,0.782352,152.7244,0.05377,0.880938,0.065293,51200,28551996,799,29037,156,299,243,323
2600,27.29,23.164,3.510535,2.887085,0.62345,3.113281,2.909302,0.601233,537.6135,0.728672,0.774126,148.8607,0.051289,0.88377,0.064941,51200,27525812,799,27043,160,309,251,338
2650,27.663,23.437,3.37672,2.752319,0.6244,2.956543,2.749878,0.626842,501.494,0.743125,0.756299,146.1639,0.04668,0.894883,0.058438,51200,25676495,837,25597,147,328,254,357
2700,28.015,23.687,3.173768,2.609497,0.564271,2.810303,2.612061,0.561708,446.3412,0.751562,0.725625,136.1295,0.039883,0.901074,0.059043,51200,22852671,813,24341,149,334,259,363
2750,28.36,23.928,3.073206,2.500732,0.572473,2.674805,2.505127,0.568079,424.6805,0.751797,0.709933,131.7723,0.037148,0.90998,0.052871,51200,21743642,747,23182,153,345,268,374
2800,28.727,24.187,2.929137,2.400513,0.528624,2.569214,2.399292,0.529845,402.972,0.746426,0.69351,129.9438,0.034453,0.916738,0.048809,51200,20632167,794,22342,143,346,269,381
2850,29.093,24.441,2.731203,2.309692,0.42151,2.485229,2.309814,0.421388,421.0174,0.756582,0.706397,140.2071,0.03666,0.917695,0.045645,51200,21556091,749,21035,144,348,273,385
2900,29.437,24.674,2.628646,2.220093,0.408553,2.388916,2.231812,0.396835,381.7885,0.777754,0.674215,146.2448,0.031719,0.928418,0.039863,51200,19547570,821,20383,142,353,275,391
2950,29.762,24.883,2.502871,2.138794,0.364077,2.307861,2.154907,0.347963,321.9941,0.780664,0.611897,140.817,0.024297,0.936953,0.03875,51200,16486100,835,19607,147,354,279,395
3000,30.077,25.087,2.407189,2.083984,0.323205,2.235107,2.094727,0.312462,292.2258,0.797988,0.569818,138.4774,0.020547,0.946855,0.032598,51200,14961961,823,18787,149,355,278,402
3050,30.382,25.282,2.267889,1.953613,0.314276,2.099487,1.958862,0.309027,257.8079,0.785859,0.512337,127.1197,0.016309,0.947949,0.035742,51200,13199763,775,17881,150,356,281,409
3100,30.69,25.471,2.246915,1.961792,0.285123,2.110107,1.968018,0.278897,262.2102,0.766426,0.518872,125.6,0.016797,0.954414,0.028789,51200,13425163,823,17687,153,356,286,412
3150,30.999,25.661,2.225664,1.964966,0.260698,2.099731,1.969238,0.256426,259.09,0.781777,0.512382,138.9625,0.016367,0.95875,0.024883,51200,13265410,781,17890,154,356,282,412
3200,31.337,25.883,2.192229,1.921875,0.270354,2.063721,1.927368,0.264861,260.6584,0.77582,0.5147,136.8089,0.016543,0.959766,0.023691,51200,13345708,853,17524,152,356,278,412
3250,31.624,26.109,2.141317,1.896606,0.244711,2.02478,1.89917,0.242147,235.077,0.761113,0.460975,130.79,0.01334,0.963145,0.023516,51200,12035943,767,17368,150,356,280,418
3300,31.797,26.198,2.108277,1.883789,0.224488,2.02063,1.888794,0.219483,199.1437,0.760977,0.361297,122.753,0.008828,0.97127,0.019902,51200,10196155,791,17788,152,356,284,423
3350,32.08,26.37,2.064544,1.839233,0.22531,1.956055,1.837646,0.226897,177.8214,0.772188,0.282204,113.5889,0.006191,0.979375,0.014434,51200,9104458,790,17016,137,356,291,436
3400,32.386,26.537,1.898083,1.700806,0.197278,1.829712,1.694702,0.203381,183.7888,0.767715,0.304889,115.7601,0.006914,0.980176,0.01291,51200,9409985,770,15440,137,356,288,436
3450,32.672,26.718,1.866855,1.673462,0.193393,1.80603,1.667603,0.199252,182.1827,0.765234,0.29876,117.1217,0.00668,0.980977,0.012344,51200,9327753,801,14863,130,356,291,442
3500,32.88,26.825,1.852933,1.666504,0.186429,1.799194,1.655884,0.19705,178.4996,0.779141,0.283696,118.2018,0.00625,0.981738,0.012012,51200,9139181,767,15076,129,356,287,442
3550,33.119,26.958,1.689521,1.536743,0.152778,1.662842,1.525146,0.164374,180.4236,0.782422,0.2892,118.6235,0.006445,0.985801,0.007754,51200,9237686,773,13368,127,356,283,443
3600,33.388,27.121,1.586942,1.468384,0.118559,1.588013,1.445312,0.14163,157.973,0.776523,0.185874,118.2904,0.003633,0.991543,0.004824,51200,8088217,746,11919,115,356,281,444
3650,33.654,27.28,1.548265,1.417969,0.130296,1.530151,1.394531,0.153734,158.5058,0.795312,0.189182,119.2574,0.003711,0.99,0.006289,51200,8115499,772,11763,97,356,280,444
3700,33.931,27.442,1.534648,1.399536,0.135112,1.520142,1.380493,0.154155,161.696,0.820547,0.205758,121.4552,0.004121,0.987852,0.008027,51200,8278834,761,11630,97,356,280,444
3750,34.218,27.592,1.428837,1.343628,0.085209,1.467651,1.320801,0.108036,142.4282,0.823789,0.096418,119.8415,0.001699,0.994199,0.004102,51200,7292324,798,10279,96,356,279,446
3800,34.361,27.681,1.373037,1.289307,0.083731,1.406738,1.258423,0.114615,143.3829,0.83293,0.103508,120.6518,0.001836,0.991816,0.006348,51200,7341207,756,10049,97,356,283,450
3850,34.498,27.76,1.438613,1.33728,0.101333,1.449829,1.307251,0.131362,144.6319,0.827227,0.110263,120.3453,0.001973,0.993945,0.004082,51200,7405155,756,10734,97,356,284,450
3900,34.761,27.902,1.341214,1.263428,0.077786,1.367432,1.224365,0.116849,135.2063,0.834473,0.048961,122.2229,0.00082,0.99291,0.00627,51200,6922561,787,9674,95,356,293,459
3950,35.037,28.063,1.104259,1.10791,-0.003651,1.217529,1.070801,0.033458,128.6716,0.858867,0.0,121.8919,0.0,0.995215,0.004785,51200,6587984,810,7551,94,356,291,460
4000,35.304,28.21,1.024543,1.049683,-0.02514,1.14917,0.997681,0.026862,133.3902,0.85082,0.035737,127.2441,0.000586,0.994141,0.005273,51200,6829578,801,6884,94,356,289,463
4050,35.594,28.378,1.006819,1.046387,-0.039568,1.151123,0.99231,0.014509,142.7676,0.856055,0.101063,135.3772,0.001777,0.990098,0.008125,51200,7309700,797,6446,93,356,277,463
4100,35.863,28.528,1.014501,1.053833,-0.039332,1.151611,1.00708,0.007421,134.8657,0.856465,0.045895,129.1795,0.000762,0.99502,0.004219,51200,6905126,780,6783,93,356,275,463
