# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
        14  ................  87878787878787878787878787878787
        14  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        13  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 750  H=7.6636 C=6.8163 HO=0.7053  A(t)=27
      1123  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       131  ................  00000000000000000000000000000000
        48  ssssssssssssssss  73737373737373737373737373737373
        42  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        39  ................  88888888888888888888888888888888
        34  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        27  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        26  ________________  20202020202020202020202020202020
        25  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        25  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 800  H=7.6113 C=6.7391 HO=0.7438  A(t)=28
       856  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       118  ................  00000000000000000000000000000000
        52  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        52  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        41  ................  88888888888888888888888888888888
        33  ssssssssssssssss  73737373737373737373737373737373
        32  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        32  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
        30  <<<<<<<<<<,<<<<<  3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c
        30  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
# epoch 850  H=7.5484 C=6.6326 HO=0.7852  A(t)=28
      1318  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       113  ................  00000000000000000000000000000000
       110  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
