# epoch 0  H=7.9997 C=8.0025 HO=-0.0004  A(t)=0
        43  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        35  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        34  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
# epoch 800  H=7.9944 C=7.9232 HO=0.0716  A(t)=94
       223  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        98  ))))))))))))))))  29292929292929292929292929292929
        84  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        69  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        49  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        47  ................  98989898989898989898989898989898
        45  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        43  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        38  MMMMMMMMMMMMMMMM  4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d
        37  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
# epoch 850  H=7.9940 C=7.9226 HO=0.0724  A(t)=98
       238  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        96  ))))))))))))))))  29292929292929292929292929292929
        84  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        69  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        56  ................  19191919191919191919191919191919
        49  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        42  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        42  ................  02020202020202020202020202020202
        38  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        38  MMMMMMMMMMMMMMMM  4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d
# epoch 900  H=7.9938 C=7.9223 HO=0.0688  A(t)=100
       220  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        96  ))))))))))))))))  29292929292929292929292929292929
        79  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        62  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        61  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        58  ................  19191919191919191919191919191919
        48  TTTTTTTTTTTTTTTT  54545454545454545454545454545454
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        42  ................  02020202020202020202020202020202
        38  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
# epoch 950  H=7.9934 C=7.9202 HO=0.0685  A(t)=104
       244  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        69  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        64  ))))))))))))))))  29292929292929292929292929292929
        59  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        58  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        58  ................  19191919191919191919191919191919
        55  ................  01010101010101010101010101010101
        48  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
        48  ................  1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c
        44  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
# epoch 1000  H=7.9930 C=7.9194 HO=0.0695  A(t)=106
       274  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       130  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        89  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        60  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        58  ................  19191919191919191919191919191919
        52  ................  01010101010101010101010101010101
        47  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
        45  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        39  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
# epoch 1050  H=7.9927 C=7.9202 HO=0.0691  A(t)=111
       265  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       112  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
       111  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        58  ................  19191919191919191919191919191919
