epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
1340,3.062,1.548,7.76118,7.375122,0.386058,7.528076,7.299438,0.461741,517.115,0.787207,0.786066,90.3107,0.049316,0.795801,0.154883,10240,5295258,303,56070,31,101,31,101
1360,3.109,1.574,7.758935,7.364258,0.394677,7.538452,7.311279,0.447656,518.2154,0.785059,0.788005,93.424,0.049902,0.78623,0.163867,10240,5306526,336,56178,29,101,29,101
1380,3.157,1.598,7.756737,7.386841,0.369896,7.565552,7.329712,0.427025,507.2114,0.772949,0.784453,97.7099,0.04834,0.783301,0.168359,10240,5193845,312,56368,29,102,29,102
1400,3.203,1.622,7.755489,7.391724,0.363765,7.574585,7.337524,0.417964,504.3033,0.777051,0.782701,97.7584,0.048145,0.786035,0.16582,10240,5164066,338,56471,30,103,30,103
1420,3.249,1.646,7.754728,7.401123,0.353605,7.581787,7.342529,0.412199,513.9285,0.759863,0.788311,97.4806,0.049219,0.781152,0.169629,10240,5262628,315,56511,29,103,29,103
1440,3.297,1.671,7.754249,7.403442,0.350807,7.591553,7.346802,0.407447,527.3569,0.760059,0.793827,97.3597,0.050781,0.778418,0.170801,10240,5400135,306,56566,30,105,30,105
1460,3.345,1.696,7.749406,7.411621,0.337785,7.585693,7.343262,0.406144,557.7998,0.766992,0.80468,107.1153,0.05459,0.781641,0.16377,10240,5711870,283,56594,31,106,31,106
1480,3.394,1.721,7.734124,7.360474,0.373651,7.539551,7.296021,0.438104,531.9036,0.785156,0.794115,105.299,0.051367,0.787695,0.160938,10240,5446693,298,56300,32,106,32,106
1500,3.441,1.746,7.721755,7.359619,0.362136,7.514038,7.287964,0.433791,526.3267,0.787891,0.790083,110.0828,0.050781,0.796191,0.153027,10240,5389585,328,56264,31,108,31,108
1520,3.489,1.77,7.720488,7.340698,0.37979,7.517456,7.291138,0.429351,527.0533,0.810645,0.789673,111.3565,0.050098,0.799707,0.150195,10240,5397026,327,56245,29,109,29,109
1540,3.537,1.795,7.71487,7.348633,0.366237,7.496582,7.274048,0.440822,521.1259,0.807227,0.787923,115.0594,0.049707,0.796875,0.153418,10240,5336329,324,56173,29,110,29,110
1560,3.594,1.821,7.715391,7.361938,0.353452,7.53125,7.283447,0.431944,512.474,0.806934,0.784562,114.8019,0.049023,0.796777,0.154199,10240,5247734,298,56330,29,110,29,110
1580,3.657,1.855,7.706836,7.334595,0.372241,7.497803,7.260132,0.446704,543.2116,0.805469,0.79598,119.4363,0.052832,0.798535,0.148633,10240,5562487,300,56168,26,110,26,110
1600,3.712,1.887,7.702254,7.306396,0.395858,7.474121,7.249512,0.452743,535.3527,0.802832,0.791589,123.6189,0.05166,0.803223,0.145117,10240,5482012,318,56069,26,112,26,112
1620,3.759,1.913,7.692642,7.318604,0.374039,7.484497,7.25293,0.439713,540.2976,0.805078,0.792704,136.76,0.052148,0.807422,0.14043,10240,5532647,335,56194,25,113,25,113
1640,3.809,1.94,7.699372,7.318848,0.380524,7.483765,7.257202,0.44217,550.0398,0.813965,0.795429,130.4562,0.053418,0.810742,0.13584,10240,5632408,320,56212,27,115,27,115
1660,3.86,1.969,7.70488,7.3396,0.36528,7.500366,7.27124,0.43364,553.1737,0.807422,0.797217,135.9499,0.053906,0.808984,0.137109,10240,5664499,321,56297,28,117,28,117
1680,3.908,1.994,7.711501,7.3302,0.3813,7.496948,7.268066,0.443434,558.8734,0.803809,0.799386,138.8244,0.054395,0.804785,0.14082,10240,5722864,303,56278,28,118,28,118
1700,3.958,2.02,7.719931,7.334229,0.385702,7.503296,7.264038,0.455893,559.5797,0.81377,0.798523,132.7807,0.054395,0.812988,0.132617,10240,5730096,290,56243,31,120,31,120
1720,4.012,2.052,7.712856,7.352295,0.360561,7.489868,7.253906,0.458949,548.3856,0.800781,0.794497,135.991,0.053027,0.817383,0.12959,10240,5615469,313,56237,28,120,28,120
1740,4.06,2.078,7.700059,7.333008,0.367051,7.490234,7.245117,0.454941,570.4681,0.803613,0.801711,139.7653,0.055859,0.816309,0.127832,10240,5841593,335,56221,30,122,30,122
1760,4.112,2.107,7.693668,7.320557,0.373111,7.492188,7.249878,0.44379,597.2052,0.798828,0.811308,146.3571,0.05918,0.811035,0.129785,10240,6115381,307,56325,31,123,31,123
1780,4.16,2.134,7.693557,7.334229,0.359328,7.494385,7.259766,0.433791,595.9457,0.807812,0.810305,145.7749,0.058984,0.812598,0.128418,10240,6102484,313,56421,30,124,30,124
1800,4.224,2.174,7.697621,7.355957,0.341664,7.513672,7.274414,0.423207,591.0281,0.800684,0.809263,145.8135,0.058008,0.80752,0.134473,10240,6052128,322,56497,32,125,32,125
1820,4.274,2.202,7.69641,7.353027,0.343383,7.530518,7.271729,0.424682,600.8468,0.793555,0.814041,147.8859,0.059277,0.806152,0.13457,10240,6152671,304,56516,32,126,32,126
1840,4.325,2.231,7.692994,7.335938,0.357057,7.49646,7.25,0.442994,589.4142,0.792285,0.811937,149.3188,0.058496,0.796387,0.145117,10240,6035601,283,56408,33,128,33,128
1860,4.374,2.258,7.681404,7.311768,0.369637,7.47998,7.231812,0.449593,593.1989,0.801074,0.813178,152.1359,0.059082,0.795605,0.145312,10240,6074357,303,56330,33,129,33,129
1880,4.429,2.286,7.684098,7.311035,0.373063,7.500366,7.246582,0.437516,595.7532,0.795898,0.813409,159.6794,0.058789,0.800684,0.140527,10240,6100513,323,56409,33,130,33,130
1900,4.484,2.318,7.677994,7.334961,0.343034,7.494141,7.248901,0.429093,598.6775,0.791113,0.813378,167.4283,0.059375,0.80332,0.137305,10240,6130458,320,56429,32,130,32,130
1920,4.534,2.346,7.680001,7.335083,0.344918,7.505371,7.251343,0.428658,606.3002,0.800488,0.815138,170.1825,0.060547,0.807031,0.132422,10240,6208514,355,56440,31,130,31,130
1940,4.588,2.376,7.669864,7.314941,0.354922,7.494263,7.245605,0.424258,589.0778,0.800684,0.809127,162.4378,0.058398,0.815039,0.126562,10240,6032157,287,56507,30,132,30,132
1960,4.641,2.406,7.668032,7.324463,0.343569,7.498779,7.249023,0.419009,590.1539,0.806152,0.809542,171.5742,0.058594,0.812012,0.129395,10240,6043176,335,56547,32,135,32,135
1980,4.69,2.433,7.667299,7.32605,0.341249,7.509766,7.25354,0.413759,569.7602,0.795898,0.803468,162.6295,0.056055,0.812109,0.131836,10240,5834344,338,56642,31,135,31,135
2000,4.74,2.46,7.660407,7.32959,0.330818,7.498535,7.248779,0.411628,580.8815,0.790039,0.807634,158.1512,0.057422,0.80918,0.133398,10240,5948227,288,56629,33,136,33,136
2020,4.791,2.487,7.652756,7.315918,0.336838,7.474365,7.242798,0.409958,574.843,0.793848,0.805905,155.1092,0.056641,0.807129,0.13623,10240,5886392,310,56574,32,136,32,136
2040,4.841,2.513,7.65225,7.308472,0.343778,7.494263,7.255249,0.397001,545.9605,0.799609,0.794543,144.8931,0.053223,0.814648,0.132129,10240,5590636,311,56670,31,136,31,136
2060,4.891,2.539,7.655174,7.341553,0.313621,7.516113,7.276855,0.378319,551.4007,0.801367,0.797198,152.6027,0.053809,0.811035,0.135156,10240,5646343,321,56784,31,136,31,136
2080,4.94,2.565,7.647508,7.354858,0.29265,7.512695,7.273926,0.373582,547.9705,0.801465,0.796473,152.6876,0.053027,0.810645,0.136328,10240,5611218,318,56821,31,138,31,138
2100,4.989,2.591,7.652062,7.332764,0.319298,7.509888,7.277344,0.374718,533.1671,0.797949,0.789977,155.2611,0.050684,0.815234,0.134082,10240,5459631,325,56803,36,140,36,140
2120,5.036,2.616,7.648827,7.336182,0.312646,7.528442,7.280273,0.368554,502.668,0.804883,0.776733,147.0176,0.047266,0.819629,0.133105,10240,5147320,318,56891,36,140,36,140
2140,5.084,2.642,7.650417,7.344727,0.30569,7.518555,7.277832,0.372585,519.7609,0.813867,0.783796,156.7393,0.049316,0.816895,0.133789,10240,5322352,323,56821,37,141,37,141
2160,5.134,2.668,7.644463,7.345947,0.298516,7.520264,7.28833,0.356133,524.0413,0.808203,0.785903,157.5779,0.050586,0.81416,0.135254,10240,5366183,302,56966,37,142,37,142
2180,5.182,2.695,7.64853,7.366821,0.281708,7.532104,7.300903,0.347626,535.6649,0.80918,0.791106,169.6581,0.051953,0.813184,0.134863,10240,5485209,329,57017,36,144,36,144
2200,5.231,2.721,7.649661,7.390381,0.259281,7.552246,7.317261,0.332401,526.7119,0.814355,0.78868,166.6546,0.050977,0.805176,0.143848,10240,5393530,315,57101,37,145,37,145
2220,5.279,2.747,7.641459,7.392212,0.249247,7.544556,7.30603,0.335429,546.7451,0.818359,0.797245,169.2263,0.053418,0.800977,0.145605,10240,5598670,326,57098,37,145,37,145
2240,5.329,2.775,7.639409,7.38208,0.257329,7.542969,7.317749,0.32166,538.4866,0.832031,0.793647,158.5665,0.052246,0.803516,0.144238,10240,5514103,276,57175,35,145,35,145
2260,5.383,2.805,7.641752,7.387817,0.253935,7.543213,7.317139,0.324614,539.5909,0.829297,0.793257,156.9012,0.052246,0.807129,0.140625,10240,5525411,326,57106,35,146,35,146
2280,5.435,2.834,7.638097,7.396118,0.241979,7.543701,7.318726,0.319371,530.3999,0.827637,0.789878,156.7614,0.05127,0.807617,0.141113,10240,5431295,328,57153,33,146,33,146
2300,5.485,2.861,7.641302,7.391357,0.249945,7.543213,7.312866,0.328436,547.1668,0.839355,0.796038,159.8133,0.05332,0.810156,0.136523,10240,5602988,305,57046,32,146,32,146
2320,5.535,2.887,7.642302,7.395874,0.246428,7.536255,7.312866,0.329436,532.2269,0.852832,0.78728,158.2312,0.05127,0.823633,0.125098,10240,5450003,299,57052,30,146,30,146
2340,5.585,2.913,7.65291,7.407104,0.245805,7.549805,7.325806,0.327104,524.9632,0.855273,0.784042,157.284,0.050195,0.828711,0.121094,10240,5375623,281,57097,29,146,29,146
2360,5.634,2.94,7.661281,7.420654,0.240627,7.55542,7.344604,0.316676,518.602,0.854199,0.78216,156.0354,0.049707,0.824707,0.125586,10240,5310484,337,57144,28,146,28,146
2380,5.683,2.966,7.665474,7.451416,0.214058,7.567871,7.350342,0.315132,530.5199,0.852051,0.78612,155.9271,0.050977,0.82998,0.119043,10240,5432524,311,57152,28,146,28,146
2400,5.733,2.993,7.66188,7.415527,0.246353,7.559937,7.330322,0.331558,553.9936,0.847949,0.794634,167.2812,0.053711,0.830957,0.115332,10240,5672894,301,57025,28,147,28,147
2420,5.783,3.019,7.661148,7.43042,0.230728,7.552856,7.338379,0.322769,543.7101,0.850977,0.791178,174.8237,0.052734,0.832324,0.114941,10240,5567591,310,57107,28,147,28,147
2440,5.833,3.046,7.660181,7.418701,0.24148,7.560547,7.340576,0.319605,546.6099,0.86543,0.791498,174.9132,0.052539,0.83418,0.113281,10240,5597285,308,57109,28,147,28,147
2460,5.881,3.072,7.663354,7.420898,0.242456,7.549683,7.336426,0.326929,523.6176,0.865137,0.781629,171.9821,0.048828,0.838281,0.112891,10240,5361844,291,57011,26,147,26,147
2480,5.93,3.099,7.660593,7.434082,0.226511,7.554932,7.334961,0.325632,524.8555,0.860254,0.781734,169.8189,0.049023,0.843262,0.107715,10240,5374520,298,57041,27,149,27,149
2500,5.981,3.124,7.652342,7.393555,0.258787,7.530396,7.319092,0.33325,514.3354,0.859961,0.775587,171.3227,0.047754,0.851367,0.100879,10240,5266795,330,56905,25,149,25,149
2520,6.031,3.15,7.650218,7.397461,0.252757,7.525635,7.317261,0.332958,488.0352,0.86416,0.762923,167.225,0.045215,0.854785,0.1,10240,4997480,278,56851,25,150,25,150
2540,6.078,3.175,7.644817,7.414307,0.23051,7.515503,7.317261,0.327556,477.5629,0.866309,0.75828,163.7836,0.044141,0.855078,0.100781,10240,4890244,314,56895,22,150,22,150
2560,6.127,3.202,7.643666,7.412842,0.230825,7.538574,7.321899,0.321767,510.2188,0.86875,0.772431,169.4911,0.048242,0.858496,0.093262,10240,5224640,310,56988,25,153,25,153
2580,6.175,3.228,7.634201,7.384033,0.250168,7.515381,7.304688,0.329513,517.6249,0.875879,0.774528,173.0185,0.048926,0.863672,0.087402,10240,5300479,306,56892,26,153,26,153
2600,6.224,3.254,7.631965,7.369385,0.262581,7.502075,7.294189,0.337776,521.1477,0.886328,0.774406,176.4157,0.049219,0.871484,0.079297,10240,5336552,325,56751,27,154,27,154
2620,6.271,3.28,7.639294,7.389282,0.250012,7.516235,7.308228,0.331066,500.0121,0.888281,0.76382,167.6318,0.04668,0.878223,0.075098,10240,5120124,305,56814,27,154,27,154
2640,6.32,3.306,7.628213,7.373779,0.254434,7.497559,7.299194,0.329019,513.0507,0.894629,0.769703,172.7475,0.048242,0.875977,0.075781,10240,5253639,317,56850,26,156,26,156
2660,6.37,3.332,7.628775,7.36377,0.265006,7.508423,7.299438,0.329337,492.4424,0.89502,0.759289,169.6409,0.045605,0.881348,0.073047,10240,5042610,317,56906,28,157,28,157
2680,6.418,3.358,7.641138,7.385254,0.255884,7.524902,7.311646,0.329493,495.7977,0.885547,0.761606,168.8337,0.045996,0.879297,0.074707,10240,5076968,317,56948,27,157,27,157
2700,6.465,3.384,7.635549,7.388062,0.247488,7.528442,7.314453,0.321096,508.82,0.888379,0.767224,182.2956,0.047754,0.877148,0.075098,10240,5210317,301,56992,27,157,27,157
2720,6.514,3.41,7.647573,7.385376,0.262198,7.5448,7.317017,0.330557,532.1136,0.892676,0.777138,186.4104,0.050586,0.877441,0.071973,10240,5448843,302,56975,28,158,28,158
2740,6.564,3.437,7.642758,7.411255,0.231503,7.546753,7.327148,0.31561,552.9459,0.891211,0.786411,190.8884,0.053125,0.87207,0.074805,10240,5662166,326,57043,25,158,25,158
2760,6.617,3.466,7.643708,7.392822,0.250886,7.552856,7.32312,0.320588,529.6957,0.900684,0.776051,189.5818,0.050098,0.879395,0.070508,10240,5424084,327,57053,27,159,27,159
2780,6.666,3.492,7.639844,7.39856,0.241285,7.549561,7.332275,0.307569,532.5999,0.900293,0.776808,190.906,0.050488,0.88457,0.064941,10240,5453823,303,57088,28,160,28,160
2800,6.715,3.519,7.6224,7.379639,0.242762,7.521118,7.311157,0.311243,533.4159,0.903516,0.777503,190.189,0.050684,0.883301,0.066016,10240,5462179,308,57041,26,160,26,160
