# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
        71  ################  23232323232323232323232323232323
        59  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        57  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        51  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        46  ................  01010101010101010101010101010101
        45  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 260  H=7.9777 C=7.5635 HO=0.3725  A(t)=0
       133  pppppppppppppppp  70707070707070707070707070707070
       112  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       102  ................  fefefefefefefefefefefefefefefefe
        89  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        84  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        70  ################  23232323232323232323232323232323
        60  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        58  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        56  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        51  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
# epoch 280  H=7.9770 C=7.5493 HO=0.3855  A(t)=9
       134  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       117  pppppppppppppppp  70707070707070707070707070707070
       102  ................  fefefefefefefefefefefefefefefefe
        93  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        89  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        83  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        59  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        58  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        53  ################  23232323232323232323232323232323
        46  ................  01010101010101010101010101010101
# epoch 300  H=7.9753 C=7.5466 HO=0.3960  A(t)=22
       151  ................  fefefefefefefefefefefefefefefefe
       129  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       117  pppppppppppppppp  70707070707070707070707070707070
        89  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        83  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        77  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        58  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        49  ################  23232323232323232323232323232323
        45  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        45  ________________  20202020202020202020202020202020
# epoch 320  H=7.9748 C=7.5427 HO=0.4016  A(t)=29
       117  pppppppppppppppp  70707070707070707070707070707070
       116  ................  fefefefefefefefefefefefefefefefe
       113  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        72  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        67  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        58  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        57  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        48  ################  23232323232323232323232323232323
        42  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        39  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
# epoch 340  H=7.9742 C=7.5449 HO=0.3870  A(t)=31
       115  ................  fefefefefefefefefefefefefefefefe
       114  pppppppppppppppp  70707070707070707070707070707070
        82  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        80  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        71  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        51  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        49  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        38  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
        35  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        32  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
# epoch 360  H=7.9733 C=7.5568 HO=0.3809  A(t)=36
       109  pppppppppppppppp  70707070707070707070707070707070
        88  ................  fefefefefefefefefefefefefefefefe
        80  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        71  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        65  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        49  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        41  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        38  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
        36  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        35  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
# epoch 380  H=7.9716 C=7.5364 HO=0.4023  A(t)=40
       118  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        99  pppppppppppppppp  70707070707070707070707070707070
        80  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        70  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        65  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        59  ................  fefefefefefefefefefefefefefefefe
        44  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        41  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        39  ................  07070707070707070707070707070707
        38  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
# epoch 400  H=7.9674 C=7.5273 HO=0.3989  A(t)=48
       221  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        81  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        70  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        69  pppppppppppppppp  70707070707070707070707070707070
        65  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        58  ................  fefefefefefefefefefefefefefefefe
        42  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        41  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        39  ................  07070707070707070707070707070707
        38  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
# epoch 420  H=7.9675 C=7.5350 HO=0.3916  A(t)=52
       194  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        80  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        65  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        61  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        58  ................  fefefefefefefefefefefefefefefefe
        53  pppppppppppppppp  70707070707070707070707070707070
        43  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        41  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        38  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
        36  ................  07070707070707070707070707070707
# epoch 440  H=7.9660 C=7.5459 HO=0.3864  A(t)=53
       191  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        65  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        63  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        61  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        49  ................  fefefefefefefefefefefefefefefefe
        46  pppppppppppppppp  70707070707070707070707070707070
        43  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        41  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        38  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
        36  ................  07070707070707070707070707070707
# epoch 460  H=7.9639 C=7.5353 HO=0.3864  A(t)=57
