# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
      1158  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       777  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       550  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       481  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       412  9999999999999999  39393939393939393939393939393939
       408  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       395  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       350  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       317  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
# epoch 3250  H=7.6934 C=7.2978 HO=0.3181  A(t)=335
      1506  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1248  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       614  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       566  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       421  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       398  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       391  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       298  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       201  ................  84848484848484848484848484848484
       189  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 3500  H=7.6730 C=7.2984 HO=0.3008  A(t)=338
      1424  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       866  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       740  VVVVVVVVVVVVVVVV  56565656565656565656565656565656
       693  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       590  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       467  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       388  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       287  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       282  ................  ffffffffffffffffffffffffffffffff
       255  ................  06060606060606060606060606060606
# epoch 3750  H=7.6633 C=7.3090 HO=0.2811  A(t)=338
      1745  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       928  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       699  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       645  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       500  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       370  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       278  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       239  ................  94949494949494949494949494949494
       236  ................  02020202020202020202020202020202
       205  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 4000  H=7.6467 C=7.3149 HO=0.2615  A(t)=342
      1357  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1335  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       609  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       601  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       430  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       395  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       368  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       294  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       240  0000000000000000  30303030303030303030303030303030
       230  9999999999999999  39393939393939393939393939393939
# epoch 4250  H=7.6316 C=7.3144 HO=0.2448  A(t)=344
      1174  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       809  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       707  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       639  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       446  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       424  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       259  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       199  ................  15151515151515151515151515151515
       198  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       195  ................  01010101010101010101010101010101
# epoch 4500  H=7.6266 C=7.3165 HO=0.2426  A(t)=344
       996  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       752  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       745  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       595  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       510  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       487  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       384  9999999999999999  39393939393939393939393939393939
       290  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       194  VVVVVVVVVVVVVVVV  56565656565656565656565656565656
       184  ................  efefefefefefefefefefefefefefefef
# epoch 4750  H=7.3954 C=6.6766 HO=0.7853  A(t)=344
      2892  {.u>,.[,),[.,>u.  7b9d753e2cf45b2c292c5bf42c3e759d
      2849  .u>,.[,),[.,>u.{  9d753e2cf45b2c292c5bf42c3e759d7b
      2752  ]\{.u>,.[,),[.,>  5d5c7b9d753e2cf45b2c292c5bf42c3e
      2691  \{.u>,.[,),[.,>u  5c7b9d753e2cf45b2c292c5bf42c3e75
      2619  u>,.[,),[.,>u.{\  753e2cf45b2c292c5bf42c3e759d7b5c
      2555  2]\{.u>,.[,),[.,  325d5c7b9d753e2cf45b2c292c5bf42c
      2509  >,.[,),[.,>u.{\]  3e2cf45b2c292c5bf42c3e759d7b5c5d
      2468  ?2]\{.u>,.[,),[.  3f325d5c7b9d753e2cf45b2c292c5bf4
      2306  ,.[,),[.,>u.{\]2  2cf45b2c292c5bf42c3e759d7b5c5d32
      2192  <?2]\{.u>,.[,),[  3c3f325d5c7b9d753e2cf45b2c292c5b
# epoch 5000  H=5.7632 C=5.2164 HO=0.7792  A(t)=346
      5362  ................  00000000000000000000000000000000
      3362  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1471  {.u>,.[,),[.,>u.  7b9d753e2cf45b2c292c5bf42c3e759d
      1455  .u>,.[,),[.,>u.{  9d753e2cf45b2c292c5bf42c3e759d7b
      1382  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
      1363  ]\{.u>,.[,),[.,>  5d5c7b9d753e2cf45b2c292c5bf42c3e
      1312  \{.u>,.[,),[.,>u  5c7b9d753e2cf45b2c292c5bf42c3e75
      1269  2]\{.u>,.[,),[.,  325d5c7b9d753e2cf45b2c292c5bf42c
      1266  u>,.[,),[.,>u.{\  753e2cf45b2c292c5bf42c3e759d7b5c
      1226  >,.[,),[.,>u.{\]  3e2cf45b2c292c5bf42c3e759d7b5c5d
# epoch 5250  H=5.7830 C=5.5643 HO=0.3707  A(t)=347
      3524  ................  00000000000000000000000000000000
      2634  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1664  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
