# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       663  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       406  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       387  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       352  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       270  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 2750  H=7.7385 C=7.2717 HO=0.3899  A(t)=322
      1758  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1072  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       919  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       752  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       673  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       406  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       364  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       327  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       305  ................  ffffffffffffffffffffffffffffffff
       297  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 3000  H=7.7097 C=7.2573 HO=0.3757  A(t)=324
      1432  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1155  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       944  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       854  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       819  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       475  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       365  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       289  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       271  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       260  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 3250  H=7.6863 C=7.2661 HO=0.3475  A(t)=328
      1735  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1363  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       831  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       800  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       722  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       681  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
       573  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       478  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       269  3333333333333333  33333333333333333333333333333333
       250  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 3500  H=7.6761 C=7.3007 HO=0.3021  A(t)=336
      1243  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1119  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       701  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
       572  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       490  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       482  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       338  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       235  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       211  3333333333333333  33333333333333333333333333333333
       201  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
# epoch 3750  H=7.6519 C=7.3004 HO=0.2813  A(t)=339
      1633  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       604  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       574  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       567  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       519  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       376  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       341  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       283  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       200  ................  ffffffffffffffffffffffffffffffff
       198  ................  fefefefefefefefefefefefefefefefe
# epoch 4000  H=7.6324 C=7.3015 HO=0.2581  A(t)=339
      1036  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       737  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       703  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       622  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       617  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       517  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       440  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       260  3333333333333333  33333333333333333333333333333333
       223  8888888888888888  38383838383838383838383838383838
       198  6666666666666666  36363636363636363636363636363636
# epoch 4250  H=7.6296 C=7.3053 HO=0.2581  A(t)=341
      1166  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       701  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       692  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       512  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       509  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       454  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
       319  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       241  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       220  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       214  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 4500  H=7.6170 C=7.2899 HO=0.2602  A(t)=341
      1055  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
