# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       143  ................  86868686868686868686868686868686
       137  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       125  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       113  ________________  20202020202020202020202020202020
# epoch 3500  H=7.7933 C=7.5803 HO=0.1394  A(t)=305
       587  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       334  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       325  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       239  ................  01010101010101010101010101010101
       217  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       153  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       146  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       141  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       113  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       108  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 3750  H=7.7906 C=7.5748 HO=0.1484  A(t)=307
       752  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       640  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       607  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       301  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       145  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       137  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       135  ................  02020202020202020202020202020202
       126  ................  ffffffffffffffffffffffffffffffff
       123  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       122  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 4000  H=7.7849 C=7.5650 HO=0.1516  A(t)=307
       645  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
