# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       110  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       106  ................  18181818181818181818181818181818
        96  4444444444444444  34343434343434343434343434343434
        93  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
# epoch 2750  H=7.8205 C=7.6026 HO=0.1470  A(t)=297
       565  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       548  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       497  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       214  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       170  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       161  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       147  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       141  ................  ffffffffffffffffffffffffffffffff
       127  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       114  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 3000  H=7.8157 C=7.6071 HO=0.1417  A(t)=302
       574  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       540  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       472  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       241  ................  ffffffffffffffffffffffffffffffff
       173  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       154  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       136  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
       130  ................  02020202020202020202020202020202
       125  ................  fafafafafafafafafafafafafafafafa
       113  ................  87878787878787878787878787878787
# epoch 3250  H=7.8078 C=7.5895 HO=0.1533  A(t)=306
       732  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       518  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       505  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       272  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       142  ................  01010101010101010101010101010101
       136  5555555555555555  35353535353535353535353535353535
       115  ................  03030303030303030303030303030303
       110  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       106  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
